"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2013","33,14","33,14","33,14","33,14","0,20K","-0,99%"
"02.04.2013","32,84","32,84","33,47","32,84","0,03K","-0,91%"
"03.04.2013","33,47","33,44","33,47","33,44","0,04K","1,92%"
"04.04.2013","33,37","33,47","33,47","33,37","0,83K","-0,30%"
"05.04.2013","32,94","33,14","33,14","32,94","0,04K","-1,29%"
"08.04.2013","30,19","32,94","32,94","30,19","1,04K","-8,35%"
"09.04.2013","31,47","31,47","31,47","31,47","0,02K","4,24%"
"10.04.2013","33,14","33,17","33,17","33,14","0,08K","5,31%"
"12.04.2013","31,80","33,11","33,11","31,80","0,18K","-4,04%"
"15.04.2013","33,04","33,11","33,11","33,04","0,10K","3,90%"
"16.04.2013","33,04","31,80","33,04","31,80","0,80K","0,00%"
"18.04.2013","33,04","33,04","33,04","33,04","0,01K","0,00%"
"19.04.2013","30,83","32,30","32,30","30,83","0,00K","-6,69%"
"22.04.2013","30,86","30,86","32,44","30,86","0,04K","0,10%"
"23.04.2013","31,80","31,80","31,80","31,80","0,06K","3,05%"
"24.04.2013","31,73","31,73","31,73","31,73","0,02K","-0,22%"
"26.04.2013","30,83","31,80","31,80","30,83","0,09K","-2,84%"
"29.04.2013","31,80","32,37","32,37","31,80","0,04K","3,15%"
"30.04.2013","30,80","31,80","31,80","30,80","0,11K","-3,14%"
"02.05.2013","29,16","30,46","30,46","29,12","0,17K","-5,32%"
"03.05.2013","30,33","32,70","33,47","30,33","205,82K","4,01%"
"06.05.2013","33,14","33,37","33,37","29,82","0,03K","9,26%"
"07.05.2013","32,77","33,11","33,11","32,77","0,05K","-1,12%"
"09.05.2013","31,13","32,40","32,40","31,13","0,09K","-5,00%"
"10.05.2013","32,60","33,04","33,04","32,60","0,05K","4,72%"
"13.05.2013","32,13","32,13","32,13","32,13","0,00K","-1,44%"
"15.05.2013","32,07","32,13","32,13","32,07","0,01K","-0,19%"
"16.05.2013","32,13","32,13","32,13","32,13","0,00K","0,19%"
"17.05.2013","31,87","31,87","31,87","31,87","0,01K","-0,81%"
"20.05.2013","31,63","33,31","33,31","31,63","0,10K","-0,75%"
"21.05.2013","32,10","32,10","32,10","32,10","0,01K","1,49%"
"22.05.2013","31,33","31,33","31,97","31,33","0,10K","-2,40%"
"24.05.2013","32,10","32,10","32,10","32,10","0,00K","2,46%"
"27.05.2013","31,80","33,21","33,21","31,80","0,08K","-0,93%"
"28.05.2013","31,47","31,47","31,47","31,47","0,00K","-1,04%"
"29.05.2013","31,36","32,40","32,40","31,36","0,11K","-0,35%"
"31.05.2013","31,63","31,63","31,63","31,63","0,00K","0,86%"
"04.06.2013","31,63","31,63","31,63","31,63","0,00K","0,00%"
"05.06.2013","31,63","31,63","31,63","31,63","0,12K","0,00%"
"06.06.2013","31,43","31,43","31,43","31,43","0,00K","-0,63%"
"07.06.2013","28,55","31,43","31,43","28,55","0,12K","-9,16%"
"10.06.2013","30,36","29,19","30,36","29,19","0,00K","6,34%"
"12.06.2013","30,39","30,39","30,39","30,39","0,02K","0,10%"
"13.06.2013","30,13","30,13","30,13","30,13","0,01K","-0,86%"
"14.06.2013","31,80","30,13","33,07","30,13","2,49K","5,54%"
"17.06.2013","32,97","31,97","32,97","31,97","0,01K","3,68%"
"21.06.2013","32,44","32,44","32,44","32,44","0,00K","-1,61%"
"25.06.2013","32,30","32,30","32,30","32,30","0,00K","-0,43%"
"28.06.2013","30,83","30,83","30,83","30,83","0,06K","-4,55%"
"02.07.2013","32,02","32,02","32,02","32,02","0,01K","3,86%"
"04.07.2013","32,42","32,42","32,42","32,42","0,00K","1,25%"
"05.07.2013","29,72","30,16","30,16","29,72","0,02K","-8,33%"
"08.07.2013","32,35","32,35","32,35","32,35","0,00K","8,85%"
"11.07.2013","32,45","32,15","32,45","32,15","0,24K","0,31%"
"12.07.2013","32,45","32,45","32,45","32,45","0,00K","0,00%"
"18.07.2013","30,33","29,72","30,33","29,72","0,05K","-6,53%"
"22.07.2013","31,34","30,33","31,34","30,33","0,14K","3,33%"
"23.07.2013","30,67","30,67","30,67","30,67","0,10K","-2,14%"
"24.07.2013","32,02","32,02","32,02","32,02","0,00K","4,40%"
"26.07.2013","31,38","31,07","31,38","31,07","0,00K","-2,00%"
"29.07.2013","30,33","31,38","31,51","30,33","0,24K","-3,35%"
"30.07.2013","30,33","30,70","31,34","30,33","0,24K","0,00%"
"31.07.2013","30,33","30,33","30,33","30,33","0,10K","0,00%"
"02.08.2013","30,33","30,33","30,33","30,33","0,20K","0,00%"
"05.08.2013","30,67","30,67","30,67","30,67","0,00K","1,12%"
"06.08.2013","31,95","31,95","31,95","31,95","0,00K","4,17%"
"07.08.2013","31,68","30,33","31,68","30,33","0,80K","-0,85%"
"08.08.2013","30,33","31,65","31,65","30,33","0,43K","-4,26%"
"09.08.2013","31,34","32,99","32,99","31,34","0,01K","3,33%"
"12.08.2013","32,59","32,59","32,59","32,59","0,00K","3,99%"
"13.08.2013","31,68","32,02","32,02","31,68","0,01K","-2,79%"
"14.08.2013","31,01","31,68","31,68","31,01","0,11K","-2,11%"
"15.08.2013","31,01","31,01","31,21","31,01","0,20K","0,00%"
