"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.07.2012","109,03","110,46","110,48","103,99","2,54K","-1,31%"
"10.07.2012","111,35","107,58","111,35","107,58","1,99K","2,13%"
"11.07.2012","109,52","111,35","111,35","109,52","0,20K","-1,64%"
"12.07.2012","111,26","109,53","111,26","108,56","0,14K","1,59%"
"13.07.2012","106,62","108,56","110,00","106,61","2,34K","-4,17%"
"16.07.2012","108,91","108,91","109,99","106,71","0,84K","2,15%"
"17.07.2012","109,03","109,03","109,03","109,03","0,04K","0,11%"
"18.07.2012","110,48","108,55","110,48","108,55","0,47K","1,33%"
"19.07.2012","110,19","110,48","110,48","109,52","2,15K","-0,26%"
"20.07.2012","110,29","110,29","110,29","110,29","0,00K","0,09%"
"23.07.2012","110,20","110,48","110,48","110,20","0,21K","-0,08%"
"24.07.2012","110,48","110,29","110,48","110,15","0,26K","0,25%"
"25.07.2012","110,78","110,39","110,78","109,52","1,15K","0,27%"
"26.07.2012","110,48","110,78","110,78","110,48","0,11K","-0,27%"
"27.07.2012","110,97","110,48","111,45","110,48","0,90K","0,44%"
"30.07.2012","111,45","111,07","111,45","110,97","0,78K","0,43%"
"31.07.2012","111,45","111,45","111,99","111,45","0,56K","0,00%"
"01.08.2012","111,94","112,41","112,42","111,45","0,73K","0,44%"
"02.08.2012","115,32","113,39","115,33","112,42","0,53K","3,02%"
"03.08.2012","122,11","116,30","124,05","116,30","1,67K","5,89%"
"06.08.2012","122,11","121,14","125,02","121,14","1,00K","0,00%"
"07.08.2012","125,01","119,30","125,01","119,30","0,09K","2,37%"
"08.08.2012","119,21","119,41","122,11","117,37","2,41K","-4,64%"
"09.08.2012","119,21","119,21","119,21","118,24","0,34K","0,00%"
"10.08.2012","119,21","119,21","119,21","117,41","2,11K","0,00%"
"13.08.2012","118,24","119,21","119,21","116,30","0,50K","-0,81%"
"14.08.2012","116,30","118,26","119,21","116,30","1,31K","-1,64%"
"15.08.2012","116,30","118,24","118,24","116,30","0,13K","0,00%"
"16.08.2012","116,30","115,38","116,30","115,33","2,27K","0,00%"
"17.08.2012","116,30","116,30","116,30","116,30","0,84K","0,00%"
"20.08.2012","116,30","116,30","116,30","115,34","1,70K","0,00%"
"21.08.2012","117,27","117,26","118,24","117,26","0,25K","0,83%"
"22.08.2012","117,28","118,24","118,24","117,28","0,82K","0,01%"
