"Data","Dividendo"
"04/2013","0,18"
"05/2013","0,19"
"06/2013","0,18"
"07/2013","0,18"
"08/2013","0,21"
"09/2013","0,25"
"10/2013","0,17"
"11/2013","0,19"
"12/2013","0,16"
"01/2014","0,20"
"02/2014","0,20"
"03/2014","0,21"
"04/2014","0,23"
"05/2014","0,23"
"06/2014","0,23"
"07/2014","0,23"
"08/2014","0,27"
"09/2014","0,25"
"10/2014","0,20"
"11/2014","0,20"
"12/2014","0,25"
"01/2015","0,28"
"02/2015","0,28"
"03/2015","0,28"
"04/2015","0,28"
"05/2015","0,28"
"06/2015","0,28"
"07/2015","0,28"
"08/2015","1,13"
"09/2015","0,46"
"10/2015","0,46"
"11/2015","0,75"
"12/2015","0,51"
"01/2016","2,51"
"02/2016","0,51"
"03/2016","0,56"
"04/2016","0,56"
"05/2016","0,76"
"06/2016","0,67"
"07/2016","0,94"
"08/2016","0,70"
"09/2016","0,79"
"10/2016","0,79"
"11/2016","0,79"
"12/2016","0,79"
"01/2017","1,02"
"02/2017","0,80"
"03/2017","0,83"
"04/2017","0,83"
"05/2017","0,84"
"06/2017","0,84"
"07/2017","0,86"
"08/2017","0,77"
"09/2017","0,77"
"10/2017","0,80"
"11/2017","0,80"
"12/2017","0,80"
"01/2018","1,01"
"02/2018","0,80"
"03/2018","0,80"
"04/2018","0,80"
"05/2018","0,80"
"06/2018","0,90"
"07/2018","0,95"
"08/2018","0,90"
"09/2018","0,90"
"10/2018","0,90"
"11/2018","0,90"
"12/2018","0,90"
"01/2019","1,05"
"02/2019","0,92"
"03/2019","0,92"
"04/2019","0,92"
"05/2019","0,92"
"06/2019","0,92"
"07/2019","0,92"
"08/2019","0,92"
"09/2019","0,92"
"10/2019","0,92"
"11/2019","0,92"
"12/2019","0,92"
"01/2020","1,05"
"02/2020","0,92"
"03/2020","0,92"
"04/2020","0,92"
"05/2020","0,92"
"06/2020","0,94"
"07/2020","1,12"
"08/2020","1,12"
"09/2020","0,94"
"10/2020","0,94"
"11/2020","0,94"
"12/2020","0,94"
"01/2021","0,94"
"02/2021","0,94"
"03/2021","0,94"
"04/2021","0,94"
"05/2021","0,94"
"06/2021","0,87"
"07/2021","0,85"
"08/2021","0,85"
"09/2021","0,85"
"10/2021","0,85"
"11/2021","0,92"
"12/2021","0,92"
"01/2022","0,92"
"02/2022","0,90"
"03/2022","0,92"
"04/2022","0,94"
"05/2022","0,94"
"06/2022","0,97"
"07/2022","1,01"
"08/2022","0,99"
"09/2022","0,99"
"10/2022","0,99"
"11/2022","0,99"
"12/2022","0,99"
"01/2023","0,99"
"02/2023","0,99"
"03/2023","0,99"
"04/2023","0,99"
"05/2023","1,07"
"06/2023","1,07"
"07/2023","1,07"
"08/2023","1,13"
"09/2023","1,13"
"10/2023","1,13"
"11/2023","1,13"
"12/2023","1,13"
"01/2024","1,13"
"02/2024","1,10"
"03/2024","1,10"
"04/2024","1,10"
"05/2024","1,10"
"06/2024","1,10"
"07/2024","1,15"
"08/2024","1,11"
"09/2024","1,11"
"10/2024","1,11"
