"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.12.2008","35,31","34,73","35,40","33,90","330,16K","-0,23%"
"04.12.2008","35,70","35,80","36,00","35,15","128,40K","1,10%"
"05.12.2008","35,35","34,51","35,35","34,11","193,70K","-0,98%"
"08.12.2008","38,46","37,35","38,46","36,95","103,10K","8,80%"
"09.12.2008","37,54","38,58","38,82","37,54","274,50K","-2,39%"
"10.12.2008","39,03","38,95","39,68","38,61","241,10K","3,97%"
"11.12.2008","38,89","39,37","39,83","38,66","164,20K","-0,36%"
"12.12.2008","39,11","37,35","39,28","37,00","64,50K","0,57%"
"15.12.2008","38,57","39,31","39,73","38,37","79,95K","-1,38%"
"16.12.2008","40,00","39,37","40,00","39,26","593,40K","3,71%"
"17.12.2008","39,21","39,90","40,25","39,20","150,20K","-1,98%"
"18.12.2008","39,15","40,31","40,49","39,15","158,00K","-0,15%"
"19.12.2008","39,13","38,95","39,84","38,84","708,30K","-0,05%"
"22.12.2008","37,75","39,49","39,49","37,62","360,35K","-3,53%"
"23.12.2008","36,56","38,06","38,07","36,43","171,70K","-3,15%"
"26.12.2008","36,90","37,02","37,11","36,46","33,20K","0,93%"
"29.12.2008","36,79","37,48","37,48","36,68","65,30K","-0,30%"
"30.12.2008","37,64","37,53","37,69","37,07","85,50K","2,31%"
"02.01.2009","40,32","38,28","40,32","37,94","119,90K","7,12%"
"05.01.2009","42,00","40,20","42,00","39,70","341,70K","4,17%"
"06.01.2009","42,32","42,06","42,32","41,55","178,32K","0,76%"
"07.01.2009","40,64","41,75","41,77","40,45","73,42K","-3,97%"
"08.01.2009","42,20","40,15","42,20","40,15","195,37K","3,84%"
"09.01.2009","42,00","41,98","42,47","41,16","271,90K","-0,47%"
"12.01.2009","39,70","40,71","40,75","39,38","37,72K","-5,48%"
"13.01.2009","40,00","38,76","40,26","38,54","177,31K","0,76%"
"14.01.2009","38,03","39,40","39,47","37,70","205,57K","-4,93%"
"15.01.2009","39,36","37,89","39,36","36,93","120,50K","3,50%"
"16.01.2009","39,49","39,68","39,84","38,66","177,72K","0,33%"
"19.01.2009","38,95","39,71","39,83","38,62","324,73K","-1,37%"
"20.01.2009","38,99","38,51","39,06","37,35","19,40K","0,10%"
"21.01.2009","38,85","37,95","38,85","37,37","32,90K","-0,36%"
"22.01.2009","38,24","38,80","38,80","37,40","417,66K","-1,57%"
"23.01.2009","38,08","37,01","38,43","36,80","118,52K","-0,42%"
"26.01.2009","39,00","38,06","39,50","37,91","77,70K","2,42%"
"27.01.2009","38,99","38,51","38,99","38,32","49,40K","-0,03%"
"28.01.2009","40,90","39,37","40,90","39,37","37,40K","4,90%"
"29.01.2009","39,60","39,74","40,81","39,37","363,53K","-3,18%"
"30.01.2009","39,60","39,27","40,20","39,27","126,47K","0,00%"
"02.02.2009","39,00","38,68","39,30","38,50","7,87K","-1,52%"
"03.02.2009","40,00","38,69","40,00","38,69","162,40K","2,56%"
"04.02.2009","40,40","40,08","41,35","39,94","114,10K","1,00%"
"05.02.2009","41,50","40,36","41,50","39,72","9,00K","2,72%"
"06.02.2009","43,20","41,63","43,20","41,60","294,57K","4,10%"
"09.02.2009","42,00","42,71","43,29","41,92","138,29K","-2,78%"
"10.02.2009","41,34","42,35","42,72","40,96","118,23K","-1,57%"
"11.02.2009","41,00","41,37","41,86","40,32","48,70K","-0,82%"
"12.02.2009","40,79","40,30","40,95","39,93","76,81K","-0,51%"
"13.02.2009","41,85","41,87","41,87","41,04","4,40K","2,60%"
"16.02.2009","41,99","41,16","41,99","40,90","33,25K","0,33%"
"17.02.2009","40,00","40,32","40,75","39,74","93,54K","-4,74%"
"18.02.2009","39,99","40,20","40,35","39,11","74,83K","-0,02%"
"19.02.2009","40,00","40,00","40,26","39,66","20,24K","0,03%"
"20.02.2009","39,20","39,51","39,51","37,99","70,90K","-2,00%"
"25.02.2009","38,65","39,30","39,30","37,95","51,10K","-1,40%"
"26.02.2009","38,75","38,86","39,07","38,26","87,60K","0,26%"
"27.02.2009","38,75","37,30","38,75","37,30","124,40K","0,00%"
"02.03.2009","36,60","38,40","38,40","36,10","120,20K","-5,55%"
"03.03.2009","36,77","36,48","37,03","35,73","211,53K","0,46%"
"04.03.2009","38,80","37,85","38,95","37,35","144,32K","5,52%"
"05.03.2009","37,30","37,84","38,00","36,91","88,61K","-3,87%"
"06.03.2009","37,50","37,72","38,25","36,51","73,42K","0,54%"
"09.03.2009","37,00","36,40","37,41","36,40","38,03K","-1,33%"
"10.03.2009","38,90","38,00","38,90","37,00","314,07K","5,14%"
"11.03.2009","38,85","39,01","39,23","38,27","108,00K","-0,13%"
"12.03.2009","39,50","38,42","39,50","38,31","138,90K","1,67%"
"13.03.2009","39,20","39,60","39,63","38,50","139,50K","-0,76%"
"16.03.2009","38,75","39,20","39,68","38,45","321,60K","-1,15%"
"17.03.2009","39,79","38,29","39,79","37,97","100,20K","2,68%"
"18.03.2009","40,30","39,70","40,56","38,82","232,50K","1,28%"
"19.03.2009","40,60","40,99","41,09","40,41","245,90K","0,74%"
"20.03.2009","40,20","40,52","40,65","40,00","51,70K","-0,99%"
"23.03.2009","42,60","41,35","42,60","41,00","430,40K","5,97%"
"24.03.2009","41,60","41,73","41,98","41,50","167,50K","-2,35%"
"25.03.2009","41,80","41,87","42,50","41,03","488,64K","0,48%"
"26.03.2009","42,70","42,24","42,70","41,92","501,90K","2,15%"
"27.03.2009","41,74","41,85","41,98","41,51","494,52K","-2,25%"
"30.03.2009","40,90","40,99","41,01","40,38","176,20K","-2,01%"
"31.03.2009","40,57","41,94","41,95","40,57","287,60K","-0,81%"
"01.04.2009","42,10","40,00","42,10","40,00","302,22K","3,77%"
"02.04.2009","43,70","43,32","44,12","43,18","429,70K","3,80%"
"03.04.2009","44,55","43,81","44,55","43,46","538,53K","1,95%"
"06.04.2009","44,35","44,58","44,58","43,33","367,22K","-0,45%"
"07.04.2009","44,05","43,80","44,22","43,53","422,10K","-0,68%"
"08.04.2009","44,30","44,00","44,55","43,60","462,10K","0,57%"
