"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.07.2012","912,18","912,18","912,18","912,18","0,03K","0,00%"
"10.07.2012","921,13","921,13","921,13","921,13","0,01K","0,98%"
"11.07.2012","907,71","907,71","907,71","907,71","0,05K","-1,46%"
"12.07.2012","905,03","907,71","907,71","905,03","0,01K","-0,30%"
"13.07.2012","911,29","907,71","915,76","907,71","0,07K","0,69%"
"16.07.2012","907,71","912,18","912,18","898,77","0,15K","-0,39%"
"17.07.2012","921,13","916,65","921,13","907,71","0,18K","1,48%"
"18.07.2012","903,24","921,13","921,13","898,87","0,16K","-1,94%"
"19.07.2012","912,18","903,24","912,18","898,95","0,22K","0,99%"
"20.07.2012","912,18","912,18","921,13","912,18","0,07K","0,00%"
"23.07.2012","921,13","921,13","921,13","921,13","0,01K","0,98%"
"24.07.2012","920,23","908,61","920,23","905,48","0,01K","-0,10%"
"25.07.2012","921,13","916,65","921,13","916,65","0,10K","0,10%"
"26.07.2012","912,18","921,13","921,13","912,18","0,03K","-0,97%"
"27.07.2012","921,13","921,13","930,05","921,13","0,09K","0,98%"
"30.07.2012","916,65","930,05","930,07","912,19","0,24K","-0,49%"
"31.07.2012","941,71","921,13","983,73","921,13","0,50K","2,73%"
"01.08.2012","947,95","947,95","949,74","939,01","0,13K","0,66%"
"02.08.2012","943,48","952,43","952,43","939,01","0,19K","-0,47%"
"03.08.2012","974,78","941,69","974,78","939,01","0,10K","3,32%"
"06.08.2012","970,31","974,78","974,78","970,31","0,12K","-0,46%"
"07.08.2012","974,78","974,78","974,78","974,78","0,04K","0,46%"
"08.08.2012","970,31","974,78","974,78","970,31","0,01K","-0,46%"
"09.08.2012","974,78","974,78","974,78","971,21","0,23K","0,46%"
"10.08.2012","947,95","947,95","952,43","947,95","0,01K","-2,75%"
"13.08.2012","956,90","947,95","956,90","947,95","0,03K","0,94%"
"14.08.2012","960,47","944,39","961,37","916,65","0,30K","0,37%"
"15.08.2012","961,37","960,47","961,37","960,47","0,05K","0,09%"
"16.08.2012","956,90","961,37","961,37","947,95","0,33K","-0,46%"
"17.08.2012","955,11","961,37","961,37","955,11","0,11K","-0,19%"
"20.08.2012","965,84","961,36","965,84","956,90","0,43K","1,12%"
"21.08.2012","965,84","965,84","965,84","956,90","0,05K","0,00%"
"22.08.2012","974,78","969,86","974,78","965,84","0,21K","0,93%"
"23.08.2012","974,78","970,31","974,78","965,84","0,16K","0,00%"
"24.08.2012","965,84","973,89","974,78","965,84","0,07K","-0,92%"
"27.08.2012","970,31","973,89","973,89","965,84","0,03K","0,46%"
"28.08.2012","974,78","973,89","974,78","973,89","0,24K","0,46%"
"29.08.2012","974,78","974,78","974,78","965,84","0,19K","0,00%"
"30.08.2012","1.001,61","974,78","1.001,61","974,78","0,32K","2,75%"
"31.08.2012","1.006,08","1.001,61","1.006,08","1.001,61","0,03K","0,45%"
"03.09.2012","997,14","1.001,61","1.010,55","997,14","0,03K","-0,89%"
"04.09.2012","998,03","998,03","1.010,55","998,03","0,13K","0,09%"
"05.09.2012","998,03","1.001,61","1.006,08","998,03","0,17K","0,00%"
"06.09.2012","997,32","1.006,08","1.006,08","997,14","0,06K","-0,07%"
"10.09.2012","997,32","997,32","997,32","997,32","0,01K","0,00%"
"11.09.2012","983,73","1.001,61","1.001,61","966,73","0,03K","-1,36%"
"12.09.2012","1.001,61","983,73","1.001,61","983,73","0,04K","1,82%"
"13.09.2012","983,73","983,73","983,73","983,73","0,03K","-1,79%"
"17.09.2012","984,62","992,67","992,67","984,62","0,00K","0,09%"
"18.09.2012","986,86","992,66","1.000,27","986,86","0,05K","0,23%"
"19.09.2012","993,57","999,82","1.001,61","993,57","0,12K","0,68%"
"20.09.2012","1.001,61","1.000,72","1.001,61","1.000,72","0,03K","0,81%"
"21.09.2012","997,14","997,14","997,14","997,14","0,03K","-0,45%"
"24.09.2012","1.001,61","997,14","1.001,61","997,14","0,05K","0,45%"
"25.09.2012","1.005,19","1.001,61","1.005,19","997,17","0,05K","0,36%"
"27.09.2012","997,14","997,17","997,17","997,14","0,04K","-0,80%"
"28.09.2012","988,20","992,67","992,67","983,73","0,10K","-0,90%"
"01.10.2012","974,78","979,25","983,73","974,78","0,17K","-1,36%"
"02.10.2012","996,25","965,84","997,05","957,79","0,03K","2,20%"
"03.10.2012","996,16","992,67","996,16","992,67","0,04K","-0,01%"
"04.10.2012","992,67","992,17","992,67","992,17","0,03K","-0,35%"
"05.10.2012","983,73","983,73","995,35","983,73","0,11K","-0,90%"
"09.10.2012","988,20","989,99","989,99","988,20","0,08K","0,45%"
"10.10.2012","997,14","988,15","997,14","988,15","0,02K","0,90%"
"11.10.2012","992,67","993,56","993,56","992,67","0,03K","-0,45%"
"15.10.2012","981,04","992,67","992,67","981,04","0,04K","-1,17%"
"16.10.2012","981,04","983,73","985,51","981,04","0,02K","0,00%"
"17.10.2012","981,04","980,15","981,04","980,15","0,01K","0,00%"
"18.10.2012","965,84","983,73","983,73","965,84","0,07K","-1,55%"
"22.10.2012","974,78","974,78","974,78","965,84","0,01K","0,93%"
"23.10.2012","976,57","976,57","976,57","976,57","0,08K","0,18%"
"24.10.2012","976,57","976,57","983,73","976,57","0,04K","0,00%"
"25.10.2012","979,16","974,83","979,16","974,78","0,05K","0,27%"
"26.10.2012","983,73","975,68","983,73","974,78","0,04K","0,47%"
"29.10.2012","974,78","981,94","981,94","974,78","0,01K","-0,91%"
"30.10.2012","965,84","974,78","974,78","965,84","0,01K","-0,92%"
"31.10.2012","974,78","974,78","974,78","973,89","0,00K","0,93%"
"01.11.2012","974,78","974,78","974,78","974,78","0,13K","0,00%"
"05.11.2012","965,84","974,78","974,78","965,84","0,29K","-0,92%"
"06.11.2012","970,31","970,31","970,31","970,31","0,01K","0,46%"
"07.11.2012","968,52","967,18","970,31","964,95","0,13K","-0,18%"
"08.11.2012","962,26","969,42","969,42","962,26","0,02K","-0,65%"
"09.11.2012","965,84","965,84","965,84","964,95","0,10K","0,37%"
"12.11.2012","965,84","966,73","966,73","962,27","0,14K","0,00%"
"13.11.2012","952,43","965,84","965,84","952,43","0,14K","-1,39%"
"14.11.2012","952,43","952,43","952,43","952,43","0,12K","0,00%"
"16.11.2012","952,43","952,43","952,43","952,43","0,03K","0,00%"
"19.11.2012","965,84","952,43","965,84","952,43","0,05K","1,41%"
"21.11.2012","953,32","965,84","965,84","953,32","0,11K","-1,30%"
"22.11.2012","1.000,72","953,32","1.005,19","953,32","0,15K","4,97%"
"23.11.2012","983,73","974,78","983,73","974,78","0,07K","-1,70%"
"26.11.2012","965,84","958,69","967,63","958,69","0,06K","-1,82%"
"27.11.2012","965,84","965,84","965,84","948,94","0,17K","0,00%"
"28.11.2012","1.001,61","965,83","1.001,61","965,83","0,55K","3,70%"
"29.11.2012","1.006,08","1.001,61","1.006,08","1.001,61","0,10K","0,45%"
"30.11.2012","1.006,08","1.006,09","1.015,03","1.006,08","0,08K","0,00%"
"03.12.2012","1.054,38","1.006,08","1.054,38","992,67","0,26K","4,80%"
"04.12.2012","1.029,34","1.041,86","1.041,86","1.028,44","0,05K","-2,37%"
"05.12.2012","1.010,55","1.023,97","1.041,41","992,67","0,06K","-1,83%"
"06.12.2012","1.019,50","1.040,96","1.040,96","1.018,60","0,02K","0,89%"
"07.12.2012","1.036,49","1.019,50","1.036,49","1.019,50","0,08K","1,67%"
"10.12.2012","1.010,55","1.037,38","1.037,38","1.010,55","0,03K","-2,50%"
"11.12.2012","1.037,38","1.019,50","1.037,38","1.019,50","0,04K","2,65%"
"12.12.2012","1.006,53","1.006,62","1.006,62","1.006,53","0,00K","-2,97%"
"13.12.2012","1.023,97","1.008,77","1.023,97","1.006,54","0,01K","1,73%"
"14.12.2012","1.055,27","1.028,44","1.055,27","1.023,97","0,09K","3,06%"
"17.12.2012","1.050,80","1.050,80","1.054,38","1.050,80","0,01K","-0,42%"
"18.12.2012","1.029,34","1.055,27","1.056,16","1.029,34","0,01K","-2,04%"
"19.12.2012","1.029,34","1.037,38","1.037,38","1.028,44","0,19K","0,00%"
"20.12.2012","1.046,33","1.058,85","1.058,85","1.046,33","0,02K","1,65%"
"21.12.2012","1.055,27","1.048,12","1.074,94","1.048,12","0,15K","0,85%"
"26.12.2012","1.073,16","1.074,94","1.115,19","1.073,16","0,09K","1,70%"
"27.12.2012","1.073,16","1.073,16","1.073,16","1.059,74","0,18K","0,00%"
"28.12.2012","1.095,51","1.073,16","1.095,51","1.073,16","0,19K","2,08%"
"02.01.2013","1.112,50","1.112,72","1.112,72","1.112,50","0,01K","1,55%"
"03.01.2013","1.117,87","1.134,75","1.169,74","1.112,50","0,12K","0,48%"
"04.01.2013","1.116,08","1.113,40","1.117,78","1.103,56","0,06K","-0,16%"
"07.01.2013","1.116,08","1.116,08","1.122,83","1.116,08","0,17K","0,00%"
"08.01.2013","1.117,87","1.108,93","1.117,87","1.108,93","0,12K","0,16%"
"09.01.2013","1.117,87","1.104,46","1.125,92","1.095,51","0,21K","0,00%"
"10.01.2013","1.117,87","1.117,87","1.117,87","1.112,50","0,26K","0,00%"
"11.01.2013","1.116,98","1.125,92","1.125,92","1.113,40","0,16K","-0,08%"
"14.01.2013","1.111,61","1.117,87","1.117,87","1.091,04","0,18K","-0,48%"
"15.01.2013","1.108,92","1.117,86","1.117,86","1.099,98","0,14K","-0,24%"
"16.01.2013","1.108,89","1.108,92","1.108,92","1.099,09","0,17K","0,00%"
"17.01.2013","1.108,91","1.108,93","1.108,93","1.099,98","0,12K","0,00%"
"18.01.2013","1.064,58","1.104,46","1.104,46","1.048,21","0,37K","-4,00%"
"21.01.2013","1.091,04","1.069,58","1.091,04","1.049,03","0,16K","2,49%"
"22.01.2013","1.091,03","1.091,03","1.091,03","1.091,03","0,05K","0,00%"
"23.01.2013","1.082,09","1.082,10","1.082,10","1.073,16","0,06K","-0,82%"
"24.01.2013","1.091,04","1.082,09","1.091,04","1.082,09","0,14K","0,83%"
"28.01.2013","1.090,95","1.091,01","1.091,01","1.090,94","0,05K","-0,01%"
"29.01.2013","1.091,04","1.090,94","1.091,22","1.082,10","0,13K","0,01%"
"30.01.2013","1.108,48","1.108,92","1.108,92","1.086,66","0,02K","1,60%"
"31.01.2013","1.091,04","1.108,48","1.108,48","1.086,66","0,09K","-1,57%"
"01.02.2013","1.091,04","1.091,04","1.091,04","1.091,04","0,04K","0,00%"
"04.02.2013","1.073,16","1.091,03","1.091,03","1.064,21","0,06K","-1,64%"
"05.02.2013","1.068,68","1.068,68","1.068,68","1.064,21","0,01K","-0,42%"
"06.02.2013","1.055,27","1.064,21","1.064,21","1.055,27","0,02K","-1,25%"
"07.02.2013","1.061,53","1.055,27","1.073,16","1.055,27","0,05K","0,59%"
"08.02.2013","1.073,16","1.055,27","1.091,04","1.055,27","0,05K","1,10%"
"13.02.2013","1.091,04","1.091,03","1.091,04","1.091,03","0,01K","1,67%"
"14.02.2013","1.082,10","1.091,04","1.091,04","1.073,16","0,02K","-0,82%"
"15.02.2013","1.064,21","1.082,09","1.082,09","1.064,21","0,03K","-1,65%"
"18.02.2013","1.070,49","1.068,68","1.073,16","1.068,68","0,07K","0,59%"
"19.02.2013","1.086,57","1.082,09","1.091,04","1.082,09","0,10K","1,50%"
"20.02.2013","1.091,04","1.086,57","1.091,04","1.086,57","0,23K","0,41%"
"21.02.2013","1.086,57","1.091,04","1.091,04","1.086,57","0,07K","-0,41%"
"22.02.2013","1.090,15","1.091,04","1.091,04","1.086,57","0,04K","0,33%"
"25.02.2013","1.073,16","1.086,57","1.086,57","1.073,16","0,08K","-1,56%"
"26.02.2013","1.069,58","1.086,57","1.086,57","1.068,68","0,03K","-0,33%"
"27.02.2013","1.073,16","1.069,58","1.073,16","1.069,58","0,02K","0,33%"
"28.02.2013","1.068,73","1.073,16","1.073,16","1.064,21","0,10K","-0,41%"
"01.03.2013","1.067,79","1.068,68","1.068,68","1.067,79","0,00K","-0,09%"
"04.03.2013","1.050,80","1.067,78","1.067,78","1.046,33","0,03K","-1,59%"
"05.03.2013","1.064,21","1.067,77","1.083,87","1.064,21","0,08K","1,28%"
"06.03.2013","1.073,16","1.073,15","1.073,16","1.073,15","0,06K","0,84%"
"07.03.2013","1.064,21","1.069,13","1.069,13","1.064,21","0,08K","-0,83%"
"08.03.2013","1.073,16","1.064,21","1.073,16","1.064,21","0,22K","0,84%"
"11.03.2013","1.073,16","1.073,16","1.073,16","1.073,16","0,04K","0,00%"
"12.03.2013","1.064,21","1.073,16","1.073,16","1.028,68","2,02K","-0,83%"
"13.03.2013","1.064,21","1.064,20","1.064,21","1.064,20","0,00K","0,00%"
"14.03.2013","1.053,48","1.055,27","1.055,27","1.037,38","0,26K","-1,01%"
"15.03.2013","1.055,27","1.046,43","1.055,27","1.046,33","0,05K","0,17%"
"18.03.2013","1.055,27","1.055,27","1.055,27","1.055,27","0,21K","0,00%"
"19.03.2013","1.050,80","1.055,27","1.055,27","1.046,33","0,31K","-0,42%"
"20.03.2013","1.050,34","1.046,33","1.050,78","1.037,38","0,12K","-0,04%"
"21.03.2013","1.039,62","1.041,86","1.041,86","1.025,76","0,10K","-1,02%"
"22.03.2013","1.032,96","1.039,62","1.043,64","1.032,96","0,08K","-0,64%"
"25.03.2013","1.019,50","1.032,91","1.032,91","1.019,50","0,19K","-1,30%"
"26.03.2013","1.019,50","1.019,50","1.019,50","1.019,50","0,00K","0,00%"
"27.03.2013","1.019,50","1.019,50","1.026,65","1.010,55","0,04K","0,00%"
"28.03.2013","1.028,44","1.037,38","1.037,38","1.028,44","0,08K","0,88%"
"01.04.2013","1.028,40","1.021,29","1.028,40","1.021,29","0,43K","0,00%"
"02.04.2013","956,90","1.020,39","1.020,39","956,90","0,04K","-6,95%"
"03.04.2013","997,14","1.018,59","1.018,60","997,14","0,03K","4,21%"
"04.04.2013","992,67","997,14","1.001,61","992,67","0,04K","-0,45%"
"05.04.2013","1.015,03","1.018,59","1.018,59","1.015,03","0,16K","2,25%"
"08.04.2013","1.018,59","1.014,98","1.018,59","993,56","0,01K","0,35%"
"09.04.2013","1.001,61","994,46","1.001,61","993,56","0,04K","-1,67%"
"11.04.2013","992,67","993,56","1.004,29","992,67","0,07K","-0,89%"
"12.04.2013","983,73","992,67","993,56","965,85","0,10K","-0,90%"
"15.04.2013","983,73","974,78","983,73","974,78","0,08K","0,00%"
"16.04.2013","974,78","974,78","974,78","974,78","0,20K","-0,91%"
"17.04.2013","965,85","965,84","974,78","965,84","0,32K","-0,92%"
"18.04.2013","974,78","965,84","974,78","965,84","0,01K","0,92%"
"19.04.2013","974,78","965,93","983,73","965,93","0,03K","0,00%"
"22.04.2013","981,04","957,03","981,04","957,03","0,00K","0,64%"
"23.04.2013","970,31","965,84","970,31","965,84","0,03K","-1,09%"
"24.04.2013","970,31","965,84","970,31","965,84","0,03K","0,00%"
"25.04.2013","974,78","981,94","981,94","974,78","0,07K","0,46%"
"29.04.2013","992,62","992,62","992,62","992,62","0,01K","1,83%"
"30.04.2013","992,67","992,62","992,67","992,62","0,01K","0,01%"
"02.05.2013","950,89","950,89","950,89","950,89","0,00K","-4,21%"
"03.05.2013","981,93","956,90","982,81","952,43","0,11K","3,26%"
"06.05.2013","943,48","956,90","956,90","943,48","0,44K","-3,92%"
"07.05.2013","947,99","947,95","980,15","947,95","0,63K","0,48%"
"08.05.2013","956,90","956,90","956,90","956,90","0,00K","0,94%"
"09.05.2013","982,81","956,90","982,81","956,90","0,03K","2,71%"
"10.05.2013","974,74","981,94","981,94","974,74","0,00K","-0,82%"
"13.05.2013","956,90","956,91","956,91","956,90","0,48K","-1,83%"
"14.05.2013","953,32","953,32","953,32","953,32","0,00K","-0,37%"
"15.05.2013","952,43","952,43","956,90","952,43","0,03K","-0,09%"
"16.05.2013","974,78","965,84","974,78","965,84","0,01K","2,35%"
"17.05.2013","981,04","974,78","981,04","974,78","0,03K","0,64%"
"20.05.2013","956,90","974,78","974,78","956,90","0,01K","-2,46%"
"21.05.2013","953,32","965,84","981,04","952,43","0,05K","-0,37%"
"22.05.2013","954,21","981,04","981,04","954,21","0,01K","0,09%"
"23.05.2013","955,11","956,00","970,31","954,21","0,08K","0,09%"
"24.05.2013","956,90","955,12","965,83","955,12","0,03K","0,19%"
"27.05.2013","970,31","970,31","970,31","970,31","0,01K","1,40%"
"28.05.2013","970,31","974,34","974,78","970,31","0,08K","0,00%"
"29.05.2013","952,45","970,31","980,15","952,45","0,43K","-1,84%"
"31.05.2013","952,45","974,75","974,75","952,45","0,04K","0,00%"
"03.06.2013","961,37","965,84","965,84","956,90","0,61K","0,94%"
"04.06.2013","970,31","961,37","970,31","961,37","0,00K","0,93%"
"05.06.2013","971,21","970,30","971,21","953,32","0,30K","0,09%"
"06.06.2013","971,21","971,21","971,21","971,21","0,00K","0,00%"
"07.06.2013","972,10","965,84","972,10","952,47","0,06K","0,09%"
"10.06.2013","952,43","952,43","969,42","952,43","0,04K","-2,02%"
"11.06.2013","939,01","952,43","952,43","889,83","0,50K","-1,41%"
"12.06.2013","913,09","939,01","939,01","912,18","0,01K","-2,76%"
"13.06.2013","939,01","937,21","939,01","913,99","0,13K","2,84%"
"14.06.2013","939,01","935,43","939,01","935,43","0,04K","0,00%"
"18.06.2013","921,13","936,33","947,95","921,13","0,64K","-1,90%"
"19.06.2013","921,13","921,13","921,13","921,13","0,12K","0,00%"
"20.06.2013","939,01","921,13","939,01","912,18","0,12K","1,94%"
"21.06.2013","938,12","939,01","946,16","921,13","0,11K","-0,09%"
"24.06.2013","921,13","930,07","930,07","921,13","0,06K","-1,81%"
"25.06.2013","934,54","934,54","934,54","934,54","0,00K","1,46%"
"26.06.2013","930,07","921,14","939,01","921,13","0,04K","-0,48%"
"27.06.2013","934,54","927,28","956,90","927,28","0,08K","0,48%"
"28.06.2013","947,95","939,05","952,43","939,01","0,15K","1,43%"
"02.07.2013","949,74","949,74","949,74","921,13","0,02K","0,19%"
"03.07.2013","940,35","921,13","940,35","921,13","0,01K","-0,99%"
"04.07.2013","939,01","940,80","947,95","934,54","0,20K","-0,14%"
"05.07.2013","950,64","930,16","950,64","921,13","0,50K","1,24%"
"08.07.2013","955,11","951,52","955,11","951,52","0,05K","0,47%"
"12.07.2013","939,01","956,89","956,89","939,01","0,01K","-1,69%"
"15.07.2013","939,01","930,07","939,01","903,24","0,14K","0,00%"
"16.07.2013","930,07","930,07","930,07","930,07","0,01K","-0,95%"
"17.07.2013","921,13","938,12","938,12","921,13","0,11K","-0,96%"
"18.07.2013","925,60","925,60","925,60","925,60","0,01K","0,49%"
"19.07.2013","930,07","921,13","930,07","921,13","0,08K","0,48%"
"22.07.2013","930,07","930,07","930,07","921,13","0,01K","0,00%"
"23.07.2013","925,60","921,13","930,07","912,18","0,05K","-0,48%"
"24.07.2013","917,55","922,02","922,02","917,55","0,01K","-0,87%"
"26.07.2013","938,18","922,02","938,18","922,02","0,05K","2,25%"
"29.07.2013","947,33","947,06","947,33","947,06","0,01K","0,98%"
"30.07.2013","947,95","934,54","947,95","930,07","0,41K","0,07%"
"31.07.2013","955,11","947,06","955,11","947,06","0,01K","0,76%"
"01.08.2013","946,32","954,42","961,64","946,32","0,85K","-0,92%"
"05.08.2013","947,49","946,34","947,49","946,34","0,01K","0,12%"
"06.08.2013","955,33","955,33","955,33","955,33","0,05K","0,83%"
"07.08.2013","955,33","947,48","955,33","947,48","0,08K","0,00%"
"08.08.2013","956,69","956,69","956,69","956,69","0,03K","0,14%"
"09.08.2013","964,35","957,14","964,35","957,14","0,34K","0,80%"
"12.08.2013","968,85","964,35","968,85","964,35","0,02K","0,47%"
"13.08.2013","968,85","969,75","979,67","968,85","0,05K","0,00%"
"14.08.2013","973,36","973,36","973,36","968,85","0,01K","0,47%"
"16.08.2013","973,36","973,36","973,36","973,36","0,01K","0,00%"
"19.08.2013","968,85","973,36","973,36","956,24","0,02K","-0,46%"
"20.08.2013","970,66","968,84","970,66","955,33","0,14K","0,19%"
"21.08.2013","964,35","968,85","968,85","949,66","0,30K","-0,65%"
"22.08.2013","977,87","964,35","977,87","964,35","0,03K","1,40%"
"23.08.2013","977,87","973,36","977,87","958,04","0,03K","0,00%"
"28.08.2013","958,04","964,35","964,35","958,04","0,11K","-2,03%"
"29.08.2013","958,04","958,04","958,04","958,04","0,01K","0,00%"
"30.08.2013","980,57","980,57","980,57","980,57","0,00K","2,35%"
"02.09.2013","971,72","980,80","980,80","971,72","0,12K","-0,90%"
"03.09.2013","974,44","973,53","974,44","971,72","0,35K","0,28%"
"04.09.2013","980,80","976,26","980,80","976,26","0,01K","0,65%"
"05.09.2013","989,88","988,97","989,88","980,80","0,05K","0,93%"
"06.09.2013","994,42","991,69","994,42","991,69","0,04K","0,46%"
"09.09.2013","980,80","989,88","989,88","976,26","0,05K","-1,37%"
"10.09.2013","994,42","994,42","994,42","994,42","0,01K","1,39%"
"11.09.2013","976,35","979,89","979,89","976,35","0,00K","-1,82%"
"12.09.2013","974,44","980,80","980,80","971,72","0,59K","-0,20%"
"13.09.2013","980,80","980,80","980,80","980,80","0,01K","0,65%"
"16.09.2013","980,89","980,89","981,70","980,89","0,03K","0,01%"
"18.09.2013","989,88","980,80","989,88","980,80","0,04K","0,92%"
"19.09.2013","980,80","980,80","980,80","980,80","0,07K","-0,92%"
"20.09.2013","980,80","974,44","980,80","971,72","0,48K","0,00%"
"23.09.2013","969,90","985,34","985,34","969,90","0,37K","-1,11%"
"24.09.2013","971,72","971,72","971,72","971,72","0,04K","0,19%"
"26.09.2013","989,88","988,97","989,88","983,52","1,07K","1,87%"
"27.09.2013","998,51","993,96","998,51","962,63","0,36K","0,87%"
"30.09.2013","989,42","998,51","998,51","989,42","0,01K","-0,91%"
"01.10.2013","997,43","988,28","1.005,67","983,70","0,25K","0,81%"
