"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.07.2012","1.181,93","1.181,92","1.181,93","1.181,92","0,02K","1,90%"
"10.07.2012","1.179,29","1.181,93","1.181,93","1.179,29","0,02K","-0,22%"
"11.07.2012","1.181,93","1.181,93","1.181,93","1.181,93","0,00K","0,22%"
"12.07.2012","1.181,93","1.181,93","1.181,93","1.181,93","0,00K","0,00%"
"13.07.2012","1.181,93","1.181,93","1.181,93","1.181,93","0,01K","0,00%"
"16.07.2012","1.190,75","1.180,17","1.190,75","1.173,11","0,13K","0,75%"
"17.07.2012","1.190,75","1.155,47","1.190,75","1.155,47","0,30K","0,00%"
"18.07.2012","1.190,75","1.157,24","1.190,75","1.157,24","0,12K","0,00%"
"23.07.2012","1.181,93","1.168,70","1.181,93","1.164,29","0,03K","-0,74%"
"24.07.2012","1.173,11","1.173,11","1.173,11","1.173,11","0,13K","-0,75%"
"25.07.2012","1.186,34","1.181,93","1.186,34","1.181,93","0,12K","1,13%"
"26.07.2012","1.186,34","1.186,34","1.186,34","1.186,34","0,01K","0,00%"
"27.07.2012","1.186,34","1.186,34","1.186,34","1.181,93","0,04K","0,00%"
"30.07.2012","1.168,70","1.181,93","1.181,93","1.157,23","0,37K","-1,49%"
"31.07.2012","1.168,70","1.164,29","1.168,70","1.164,29","0,04K","0,00%"
"01.08.2012","1.164,29","1.168,70","1.168,70","1.164,29","0,02K","-0,38%"
"02.08.2012","1.164,29","1.155,47","1.164,29","1.155,47","0,17K","0,00%"
"03.08.2012","1.160,76","1.164,29","1.164,29","1.160,76","0,32K","-0,30%"
"06.08.2012","1.159,87","1.159,00","1.159,88","1.155,47","0,15K","-0,08%"
"07.08.2012","1.146,66","1.159,87","1.159,87","1.146,66","0,05K","-1,14%"
"08.08.2012","1.159,78","1.159,78","1.159,78","1.159,78","0,05K","1,14%"
"09.08.2012","1.155,47","1.159,78","1.159,78","1.155,46","0,02K","-0,37%"
"10.08.2012","1.159,79","1.155,47","1.159,79","1.155,47","0,05K","0,37%"
"13.08.2012","1.159,00","1.159,78","1.159,79","1.159,00","0,20K","-0,07%"
"14.08.2012","1.155,47","1.155,47","1.155,47","1.146,65","0,14K","-0,30%"
"15.08.2012","1.159,87","1.155,47","1.159,87","1.155,47","0,05K","0,38%"
"16.08.2012","1.147,53","1.147,53","1.147,53","1.147,53","0,02K","-1,06%"
"17.08.2012","1.146,65","1.154,59","1.154,59","1.146,65","0,10K","-0,08%"
"20.08.2012","1.154,58","1.146,65","1.154,58","1.146,65","0,01K","0,69%"
"22.08.2012","1.154,59","1.147,53","1.154,59","1.147,53","0,19K","0,00%"
"24.08.2012","1.144,89","1.129,01","1.145,77","1.129,01","0,25K","-0,84%"
"27.08.2012","1.144,00","1.129,01","1.144,00","1.129,01","0,61K","-0,08%"
"28.08.2012","1.144,00","1.144,00","1.144,00","1.144,00","0,00K","0,00%"
"29.08.2012","1.146,65","1.145,77","1.146,65","1.145,77","0,07K","0,23%"
"30.08.2012","1.146,65","1.146,65","1.146,65","1.146,65","0,17K","0,00%"
"31.08.2012","1.145,77","1.145,77","1.145,77","1.145,77","0,03K","-0,08%"
"03.09.2012","1.146,65","1.137,83","1.146,65","1.137,83","0,02K","0,08%"
"04.09.2012","1.137,83","1.137,83","1.137,83","1.137,83","0,02K","-0,77%"
"05.09.2012","1.136,94","1.124,60","1.136,94","1.120,19","0,59K","-0,08%"
"06.09.2012","1.129,01","1.136,94","1.137,83","1.129,01","0,37K","-0,70%"
"10.09.2012","1.144,89","1.145,77","1.145,77","1.144,89","0,00K","1,41%"
"11.09.2012","1.146,65","1.134,30","1.146,65","1.133,43","0,24K","0,15%"
"13.09.2012","1.145,77","1.145,77","1.145,77","1.137,83","0,12K","-0,08%"
"14.09.2012","1.146,65","1.145,77","1.146,65","1.137,83","0,28K","0,08%"
"17.09.2012","1.137,83","1.142,24","1.142,24","1.137,83","0,21K","-0,77%"
"18.09.2012","1.144,89","1.146,65","1.146,65","1.144,89","0,10K","0,62%"
"19.09.2012","1.142,24","1.142,24","1.142,24","1.142,24","0,12K","-0,23%"
"21.09.2012","1.142,24","1.142,24","1.142,24","1.142,24","0,01K","0,00%"
"24.09.2012","1.138,71","1.137,83","1.138,71","1.137,83","0,08K","-0,31%"
