"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2013","115,00","111,60","115,00","111,60","0,68K","-0,95%"
"02.04.2013","115,00","111,60","115,00","111,60","0,38K","0,00%"
"03.04.2013","112,01","115,00","115,00","112,01","0,41K","-2,60%"
"04.04.2013","112,05","112,00","112,80","112,00","0,57K","0,04%"
"05.04.2013","115,88","113,80","115,88","113,00","1,23K","3,42%"
"08.04.2013","114,97","115,95","115,95","112,21","0,07K","-0,79%"
"09.04.2013","115,80","114,99","115,80","113,00","0,25K","0,72%"
"10.04.2013","115,00","115,00","115,00","115,00","0,16K","-0,69%"
"11.04.2013","112,10","114,40","115,00","112,10","0,71K","-2,52%"
"12.04.2013","112,20","112,20","114,59","112,10","0,20K","0,09%"
"15.04.2013","113,85","112,10","114,99","110,00","0,60K","1,47%"
"16.04.2013","113,00","113,50","114,50","112,02","0,35K","-0,75%"
"17.04.2013","112,50","113,00","115,00","112,50","0,57K","-0,44%"
"18.04.2013","113,00","113,00","114,98","113,00","0,13K","0,44%"
"19.04.2013","113,50","113,50","114,48","113,50","0,56K","0,44%"
"22.04.2013","112,10","112,60","114,00","112,10","0,19K","-1,24%"
"23.04.2013","110,50","112,00","113,00","110,50","0,39K","-1,43%"
"24.04.2013","112,10","113,99","113,99","112,10","0,02K","1,45%"
"25.04.2013","110,50","112,00","112,00","110,50","0,36K","-1,43%"
"26.04.2013","113,00","111,00","113,00","110,00","0,25K","2,26%"
"29.04.2013","112,00","112,00","112,00","112,00","0,01K","-0,88%"
"30.04.2013","110,00","112,00","112,50","110,00","0,17K","-1,79%"
"02.05.2013","107,00","108,00","109,00","107,00","0,10K","-2,73%"
"03.05.2013","107,00","107,00","107,00","107,00","0,23K","0,00%"
"06.05.2013","107,00","109,90","110,00","107,00","0,23K","0,00%"
"07.05.2013","105,00","107,01","107,01","105,00","0,28K","-1,87%"
"08.05.2013","107,00","109,90","110,00","105,00","0,18K","1,91%"
"09.05.2013","109,50","106,00","110,00","105,00","0,25K","2,34%"
"10.05.2013","106,31","106,00","109,50","105,01","0,27K","-2,92%"
"13.05.2013","104,90","104,00","105,12","96,11","0,23K","-1,32%"
"14.05.2013","103,00","100,00","103,00","100,00","0,32K","-1,81%"
"15.05.2013","95,20","104,90","105,00","95,20","0,43K","-7,57%"
"16.05.2013","102,00","100,00","105,00","100,00","0,26K","7,14%"
"17.05.2013","107,50","105,00","107,50","105,00","0,18K","5,39%"
"21.05.2013","105,00","105,00","105,00","105,00","0,08K","-2,33%"
"22.05.2013","100,00","105,00","105,00","100,00","0,18K","-4,76%"
"23.05.2013","104,00","102,00","104,00","102,00","0,10K","4,00%"
"24.05.2013","100,00","101,00","101,00","97,58","0,54K","-3,85%"
"27.05.2013","100,00","100,00","100,00","96,50","0,18K","0,00%"
"28.05.2013","99,50","95,00","99,50","95,00","1,26K","-0,50%"
"29.05.2013","96,50","95,00","99,88","95,00","0,76K","-3,01%"
"31.05.2013","99,90","95,62","99,90","95,50","0,25K","3,52%"
"03.06.2013","98,00","95,50","98,00","95,50","0,21K","-1,90%"
"04.06.2013","98,00","95,30","98,00","95,30","0,52K","0,00%"
"05.06.2013","98,50","96,11","98,50","96,11","0,37K","0,51%"
"06.06.2013","99,50","99,50","99,50","97,00","0,35K","1,02%"
"07.06.2013","98,00","99,90","100,00","97,21","0,37K","-1,51%"
"10.06.2013","98,00","97,30","98,00","95,90","0,40K","0,00%"
"11.06.2013","95,90","95,00","95,90","91,10","0,42K","-2,14%"
"12.06.2013","97,40","95,88","97,40","95,88","0,22K","1,56%"
"13.06.2013","97,40","95,00","97,40","95,00","0,46K","0,00%"
"14.06.2013","97,39","95,00","97,40","94,20","0,18K","-0,01%"
"17.06.2013","92,49","95,00","95,00","92,00","0,17K","-5,04%"
"18.06.2013","91,02","91,02","91,02","91,02","0,01K","-1,58%"
"19.06.2013","92,00","90,50","94,50","88,00","1,06K","1,08%"
"21.06.2013","85,00","86,10","87,00","83,00","0,28K","-7,61%"
"24.06.2013","80,00","80,50","86,00","79,55","0,72K","-5,88%"
"25.06.2013","84,69","75,00","86,00","75,00","0,64K","5,86%"
"26.06.2013","91,90","89,80","91,90","89,80","0,51K","8,51%"
"27.06.2013","92,40","90,20","92,40","90,00","0,28K","0,54%"
"28.06.2013","90,09","90,00","92,00","90,00","0,17K","-2,50%"
"01.07.2013","90,00","90,00","92,00","90,00","0,21K","0,24%"
"02.07.2013","90,00","90,00","90,00","90,00","1,46K","0,00%"
"03.07.2013","90,00","90,10","90,10","90,00","1,10K","0,00%"
"04.07.2013","90,50","90,50","90,50","90,50","0,07K","0,56%"
"05.07.2013","92,50","90,50","92,50","90,00","0,70K","2,21%"
"08.07.2013","90,21","92,50","92,50","90,07","0,57K","-2,47%"
"10.07.2013","90,50","90,16","90,50","90,16","0,19K","0,32%"
"11.07.2013","90,00","90,50","90,50","88,00","0,29K","-0,55%"
"12.07.2013","92,50","90,00","92,50","89,50","0,75K","2,77%"
"16.07.2013","92,30","90,20","92,49","90,00","0,21K","-0,20%"
"17.07.2013","92,30","90,52","92,30","90,00","0,36K","0,00%"
"18.07.2013","92,30","90,70","92,30","90,00","0,56K","0,00%"
"19.07.2013","92,30","90,11","92,30","90,11","0,20K","0,00%"
"22.07.2013","93,00","91,01","93,00","91,00","0,11K","0,76%"
"23.07.2013","91,40","91,10","93,00","90,01","0,52K","-1,72%"
"24.07.2013","90,00","92,50","92,50","90,00","0,63K","-1,53%"
"25.07.2013","93,00","90,00","93,00","90,00","0,59K","3,33%"
"26.07.2013","93,00","92,90","93,00","92,90","0,29K","0,00%"
"30.07.2013","90,00","90,50","90,80","90,00","0,97K","-3,23%"
"31.07.2013","89,85","90,00","90,00","90,00","0,43K","0,00%"
"01.08.2013","90,00","90,00","91,50","89,00","1,45K","0,17%"
"02.08.2013","90,00","90,00","90,00","90,00","0,04K","0,00%"
"06.08.2013","91,00","91,00","91,00","90,00","0,30K","0,00%"
"07.08.2013","90,00","90,00","90,00","90,00","0,09K","-1,10%"
"08.08.2013","90,00","90,00","90,06","90,00","1,25K","0,00%"
"09.08.2013","93,00","90,00","93,00","90,00","0,39K","3,33%"
"12.08.2013","91,00","91,00","91,00","91,00","0,07K","-2,15%"
"13.08.2013","90,00","90,00","90,00","90,00","0,81K","-1,10%"
"14.08.2013","90,00","90,00","91,99","90,00","0,06K","0,00%"
"15.08.2013","90,00","90,00","91,00","89,00","0,28K","0,00%"
