"Data","Dividendo"
"04/2013","0,60"
"05/2013","0,60"
"06/2013","0,67"
"07/2013","0,30"
"08/2013","0,15"
"09/2013","0,42"
"10/2013","0,59"
"11/2013","0,83"
"12/2013","1,01"
"01/2014","1,03"
"02/2014","0,77"
"03/2014","0,70"
"04/2014","0,71"
"05/2014","0,80"
"06/2014","0,70"
"07/2014","0,71"
"08/2014","0,50"
"09/2014","0,72"
"10/2014","0,74"
"11/2014","0,98"
"12/2014","0,79"
"01/2015","0,85"
"02/2015","0,90"
"03/2015","0,90"
"04/2015","0,94"
"05/2015","0,94"
"06/2015","0,94"
"07/2015","0,97"
"08/2015","1,00"
"09/2015","1,00"
"10/2015","1,02"
"11/2015","1,01"
"12/2015","1,02"
"01/2016","1,05"
"02/2016","1,00"
"03/2016","0,95"
"04/2016","1,00"
"05/2016","0,94"
"06/2016","0,97"
"07/2016","0,98"
"08/2016","0,93"
"09/2016","0,95"
"10/2016","0,90"
"11/2016","0,90"
"12/2016","0,86"
"01/2017","0,89"
"02/2017","0,93"
"03/2017","0,83"
"04/2017","0,83"
"05/2017","0,66"
"06/2017","0,72"
"07/2017","1,05"
"08/2017","0,70"
"09/2017","0,70"
"10/2017","0,65"
"11/2017","0,56"
"12/2017","0,58"
"01/2018","0,62"
"02/2018","0,60"
"03/2018","0,55"
"04/2018","0,54"
"05/2018","0,52"
"06/2018","0,54"
"07/2018","0,54"
"08/2018","0,55"
"09/2018","0,51"
"10/2018","0,50"
"11/2018","0,53"
"12/2018","0,60"
"01/2019","0,56"
"02/2019","0,57"
"03/2019","0,57"
"04/2019","0,57"
"05/2019","0,58"
"06/2019","0,60"
"07/2019","0,62"
"08/2019","0,62"
"09/2019","0,62"
"10/2019","0,62"
"11/2019","0,57"
"12/2019","0,53"
"01/2020","0,47"
"02/2020","0,47"
"03/2020","0,44"
"04/2020","0,37"
"05/2020","0,38"
"06/2020","0,46"
"07/2020","0,46"
"08/2020","0,50"
"09/2020","0,52"
"10/2020","0,53"
"11/2020","0,53"
"12/2020","0,53"
"01/2021","0,56"
"02/2021","0,53"
"03/2021","0,53"
"04/2021","0,53"
"05/2021","0,53"
"06/2021","0,53"
"07/2021","0,53"
"08/2021","0,53"
"09/2021","0,53"
"10/2021","0,53"
"11/2021","0,53"
"12/2021","0,53"
"01/2022","0,53"
"02/2022","0,53"
"03/2022","0,53"
"04/2022","0,49"
"05/2022","0,49"
"06/2022","0,49"
"07/2022","0,49"
"08/2022","0,49"
"09/2022","0,49"
"10/2022","0,49"
"11/2022","0,49"
"12/2022","0,49"
"01/2023","0,49"
"02/2023","0,49"
"03/2023","0,46"
"04/2023","0,46"
"05/2023","0,46"
"06/2023","0,46"
"07/2023","0,46"
"08/2023","0,46"
"09/2023","0,46"
"10/2023","0,46"
"11/2023","0,46"
"12/2023","0,46"
"01/2024","0,46"
"02/2024","0,46"
"03/2024","0,46"
"04/2024","0,48"
"05/2024","0,48"
"06/2024","0,48"
"07/2024","0,48"
"08/2024","0,48"
"09/2024","0,48"
"10/2024","0,48"
