"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.10.2024","104,07","103,80","104,56","103,58","117,42K","0,29%"
"24.10.2024","103,77","104,00","104,15","103,69","89,27K","-0,40%"
"23.10.2024","104,19","103,71","104,40","103,50","157,94K","0,45%"
"22.10.2024","103,72","103,93","103,93","103,27","124,83K","-0,20%"
"21.10.2024","103,93","104,11","104,18","103,75","111,86K","-0,12%"
"18.10.2024","104,05","104,23","104,38","104,02","102,94K","-0,09%"
"17.10.2024","104,14","104,16","104,48","104,00","90,66K","0,12%"
"16.10.2024","104,02","104,45","104,50","104,02","144,52K","-0,46%"
"15.10.2024","104,50","104,00","104,60","103,93","92,36K","0,55%"
"14.10.2024","103,93","104,11","104,50","103,90","115,85K","-0,17%"
"11.10.2024","104,11","103,82","104,54","103,58","102,03K","0,28%"
"10.10.2024","103,82","104,34","104,59","103,60","114,86K","-0,50%"
"09.10.2024","104,34","104,56","104,87","104,16","167,12K","-0,21%"
"08.10.2024","104,56","105,12","105,27","104,32","102,69K","-0,48%"
"07.10.2024","105,06","105,05","105,15","104,60","115,58K","0,14%"
"04.10.2024","104,91","105,09","105,27","104,76","94,74K","0,10%"
"03.10.2024","104,80","104,69","105,18","104,42","106,20K","0,10%"
"02.10.2024","104,69","104,61","104,85","103,96","148,20K","0,54%"
"01.10.2024","104,13","105,46","105,73","103,90","175,13K","-1,13%"
"30.09.2024","105,32","105,74","106,30","104,94","236,39K","-0,13%"
"27.09.2024","105,45","105,62","105,90","105,05","117,34K","0,14%"
"26.09.2024","105,31","105,19","105,93","104,74","139,22K","0,34%"
"25.09.2024","104,95","104,43","104,95","104,03","129,61K","0,50%"
"24.09.2024","104,42","104,55","104,95","104,31","109,00K","-0,12%"
"23.09.2024","104,55","104,88","105,19","104,29","183,03K","-0,66%"
"20.09.2024","105,25","104,39","105,64","104,34","905,51K","0,82%"
"19.09.2024","104,39","104,65","104,79","104,28","117,10K","-0,25%"
"18.09.2024","104,65","104,69","104,80","104,31","174,85K","0,19%"
"17.09.2024","104,45","104,45","104,88","104,40","127,71K","-0,42%"
"16.09.2024","104,89","104,74","104,94","104,40","133,01K","0,07%"
"13.09.2024","104,82","103,96","104,95","103,95","144,40K","0,83%"
"12.09.2024","103,96","104,75","104,96","103,96","139,73K","-0,92%"
"11.09.2024","104,92","104,38","104,99","104,29","102,99K","0,61%"
"10.09.2024","104,29","104,68","104,94","104,21","117,44K","-0,73%"
"09.09.2024","105,05","104,55","105,17","104,48","148,75K","0,29%"
"06.09.2024","104,74","104,91","104,91","104,32","110,25K","0,28%"
"05.09.2024","104,44","104,35","104,44","103,98","105,03K","0,31%"
"04.09.2024","104,12","104,18","104,23","104,01","80,21K","-0,06%"
"03.09.2024","104,18","104,15","104,25","103,94","119,99K","0,21%"
"02.09.2024","103,96","103,61","104,21","103,27","130,78K","0,57%"
"30.08.2024","103,37","103,81","103,81","102,98","186,04K","-0,37%"
"29.08.2024","103,76","103,75","103,81","103,61","103,19K","0,20%"
