"Data","Dividendo"
"04/2013","0,61"
"05/2013","0,61"
"06/2013","0,61"
"07/2013","0,74"
"08/2013","0,72"
"09/2013","0,67"
"10/2013","0,76"
"11/2013","0,67"
"12/2013","0,80"
"01/2014","0,87"
"02/2014","0,81"
"03/2014","0,78"
"04/2014","0,85"
"05/2014","0,90"
"06/2014","0,85"
"07/2014","0,92"
"08/2014","0,84"
"09/2014","0,85"
"10/2014","0,99"
"11/2014","0,85"
"12/2014","0,99"
"01/2015","0,95"
"02/2015","0,85"
"03/2015","1,05"
"04/2015","0,98"
"05/2015","0,98"
"06/2015","1,07"
"07/2015","1,14"
"08/2015","1,10"
"09/2015","1,06"
"10/2015","1,08"
"11/2015","1,10"
"12/2015","1,22"
"01/2016","1,11"
"02/2016","1,05"
"03/2016","1,22"
"04/2016","1,10"
"05/2016","1,16"
"06/2016","1,22"
"07/2016","1,16"
"08/2016","1,23"
"09/2016","1,13"
"10/2016","1,06"
"11/2016","1,04"
"12/2016","1,15"
"01/2017","1,14"
"02/2017","0,89"
"03/2017","1,05"
"04/2017","0,80"
"05/2017","0,84"
"06/2017","0,73"
"07/2017","0,71"
"08/2017","0,74"
"09/2017","0,63"
"10/2017","0,67"
"11/2017","0,63"
"12/2017","0,61"
"01/2018","0,67"
"02/2018","0,55"
"03/2018","0,60"
"04/2018","0,58"
"05/2018","0,59"
"06/2018","0,63"
"07/2018","0,68"
"08/2018","0,69"
"09/2018","0,54"
"10/2018","0,63"
"11/2018","0,53"
"12/2018","0,51"
"01/2019","0,56"
"02/2019","0,54"
"03/2019","0,52"
"04/2019","0,60"
"05/2019","0,65"
"06/2019","0,56"
"07/2019","0,64"
"08/2019","0,57"
"09/2019","0,51"
"10/2019","0,52"
"11/2019","0,44"
"12/2019","0,51"
"01/2020","0,50"
"02/2020","0,41"
"03/2020","0,45"
"04/2020","0,35"
"05/2020","0,30"
"06/2020","0,30"
"07/2020","0,30"
"08/2020","0,27"
"09/2020","0,25"
"10/2020","0,25"
"11/2020","0,30"
"12/2020","0,43"
"01/2021","0,28"
"02/2021","0,25"
"03/2021","0,33"
"04/2021","0,30"
"05/2021","0,35"
"06/2021","0,40"
"07/2021","0,45"
"08/2021","0,50"
"09/2021","0,55"
"10/2021","0,56"
"11/2021","0,65"
"12/2021","0,82"
"01/2022","0,82"
"02/2022","0,83"
"03/2022","1,00"
"04/2022","0,97"
"05/2022","1,08"
"06/2022","1,05"
"07/2022","1,15"
"08/2022","1,30"
"09/2022","1,20"
"10/2022","1,10"
"11/2022","1,10"
"12/2022","1,20"
"01/2023","1,20"
"02/2023","1,00"
"03/2023","1,22"
"04/2023","1,00"
"05/2023","1,24"
"06/2023","1,15"
"07/2023","1,15"
"08/2023","1,20"
"09/2023","1,10"
"10/2023","1,11"
"11/2023","1,01"
"12/2023","1,01"
"01/2024","1,07"
"02/2024","0,95"
"03/2024","0,95"
"04/2024","1,00"
"05/2024","1,00"
"06/2024","1,00"
"07/2024","0,95"
"08/2024","0,95"
"09/2024","0,95"
"10/2024","1,02"
