"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.07.2012","169,46","169,45","169,46","167,96","1,18K","0,30%"
"10.07.2012","169,46","170,95","171,45","169,46","0,99K","0,00%"
"11.07.2012","171,45","170,45","171,45","168,66","1,12K","1,18%"
"12.07.2012","171,45","170,45","172,94","170,45","0,63K","0,00%"
"13.07.2012","170,45","170,95","172,93","169,97","0,94K","-0,58%"
"16.07.2012","169,46","170,41","171,75","168,96","1,11K","-0,59%"
"17.07.2012","172,35","172,35","172,35","169,48","1,04K","1,71%"
"18.07.2012","172,65","172,45","174,44","171,55","0,49K","0,52%"
"19.07.2012","174,94","172,65","174,94","172,65","0,45K","0,98%"
"20.07.2012","174,94","174,44","177,43","171,68","1,19K","0,00%"
"23.07.2012","189,39","174,94","189,39","174,94","1,59K","8,26%"
"24.07.2012","183,41","185,31","185,31","181,52","0,58K","-3,16%"
"25.07.2012","181,62","183,91","185,40","181,47","1,61K","-0,98%"
"26.07.2012","183,06","182,91","183,41","181,42","0,73K","0,80%"
"27.07.2012","182,61","183,41","183,41","182,61","0,55K","-0,25%"
"30.07.2012","181,42","183,41","185,40","180,52","1,04K","-0,66%"
"31.07.2012","180,92","183,41","188,89","180,92","1,04K","-0,27%"
"01.08.2012","179,32","180,92","180,92","175,44","0,92K","-0,88%"
"02.08.2012","178,91","181,92","181,92","174,44","0,87K","-0,23%"
"03.08.2012","175,94","181,92","181,92","174,44","0,82K","-1,67%"
"06.08.2012","174,93","175,94","176,33","172,45","0,47K","-0,57%"
"07.08.2012","171,75","174,84","174,84","171,75","0,91K","-1,82%"
"08.08.2012","159,49","172,45","172,45","156,00","2,70K","-7,14%"
"10.08.2012","164,47","159,99","165,27","159,49","0,91K","0,39%"
"13.08.2012","164,97","165,12","166,17","164,27","0,45K","-0,09%"
"14.08.2012","166,57","164,97","167,46","166,47","0,82K","0,97%"
"15.08.2012","168,46","166,57","168,96","166,57","1,03K","1,14%"
"16.08.2012","168,46","168,46","168,96","167,16","0,61K","0,00%"
"17.08.2012","169,46","167,96","170,35","167,96","0,62K","0,59%"
"20.08.2012","168,46","169,46","169,46","166,97","0,46K","-0,59%"
"21.08.2012","164,97","168,46","168,46","164,47","1,00K","-2,07%"
"22.08.2012","163,72","165,77","165,77","161,48","0,68K","-0,76%"
"23.08.2012","161,48","162,48","162,48","160,98","1,34K","-1,37%"
"24.08.2012","157,49","160,89","162,48","152,51","1,52K","-2,47%"
"27.08.2012","152,21","156,00","157,39","149,52","2,40K","-3,35%"
"28.08.2012","156,00","152,51","156,00","152,21","1,68K","2,49%"
"29.08.2012","155,50","156,00","156,00","148,02","1,07K","-0,32%"
"30.08.2012","152,21","155,50","155,50","149,57","0,76K","-2,11%"
"31.08.2012","152,51","152,11","158,49","152,16","1,44K","0,20%"
"03.09.2012","158,00","159,49","159,49","152,16","0,61K","3,60%"
"05.09.2012","155,00","158,69","159,49","152,16","1,12K","-1,82%"
"06.09.2012","158,49","155,60","159,34","153,22","1,36K","2,25%"
"10.09.2012","159,49","156,51","159,49","156,60","0,99K","0,63%"
"11.09.2012","160,48","158,49","161,48","155,00","1,38K","0,63%"
"12.09.2012","165,47","161,18","166,47","159,39","1,34K","3,11%"
"13.09.2012","168,46","165,47","168,46","160,19","1,40K","1,81%"
"14.09.2012","164,67","163,48","168,46","161,08","1,23K","-2,25%"
"17.09.2012","167,46","164,67","168,45","163,48","1,71K","1,69%"
"18.09.2012","167,96","167,46","169,06","166,47","1,07K","0,30%"
"19.09.2012","168,96","169,26","169,23","167,46","1,05K","0,59%"
"20.09.2012","171,45","169,16","171,45","168,96","1,16K","1,48%"
"21.09.2012","171,45","170,45","172,74","167,56","1,21K","0,00%"
"24.09.2012","172,45","171,45","172,45","168,46","1,39K","0,58%"
"25.09.2012","171,50","170,45","172,25","168,56","0,79K","-0,55%"
"26.09.2012","173,94","172,45","175,94","172,45","2,32K","1,42%"
"27.09.2012","176,43","174,44","176,43","173,94","2,33K","1,43%"
"28.09.2012","174,74","176,93","176,93","171,45","1,66K","-0,56%"
"01.10.2012","170,75","175,44","175,44","170,45","1,43K","-2,67%"
"02.10.2012","174,24","172,94","174,44","170,75","1,49K","2,04%"
"03.10.2012","173,24","174,14","175,44","171,45","1,54K","-0,57%"
"04.10.2012","171,65","174,43","174,43","171,45","0,62K","-0,92%"
"05.10.2012","171,65","171,65","173,94","171,65","0,38K","0,00%"
"08.10.2012","172,93","171,65","173,44","166,47","1,01K","0,75%"
