"Data","Dividendo"
"04/2013","0,72"
"05/2013","0,74"
"06/2013","0,80"
"07/2013","0,80"
"08/2013","0,84"
"09/2013","0,85"
"10/2013","0,86"
"11/2013","0,88"
"12/2013","0,89"
"01/2014","0,89"
"02/2014","0,90"
"03/2014","0,92"
"04/2014","0,92"
"05/2014","0,92"
"06/2014","0,92"
"07/2014","0,92"
"08/2014","0,92"
"09/2014","0,92"
"10/2014","0,92"
"11/2014","0,92"
"12/2014","0,92"
"01/2015","0,80"
"02/2015","0,92"
"03/2015","0,92"
"04/2015","0,92"
"05/2015","0,92"
"06/2015","0,92"
"07/2015","0,92"
"08/2015","0,92"
"09/2015","0,92"
"10/2015","0,92"
"11/2015","0,92"
"12/2015","0,92"
"01/2016","0,92"
"02/2016","0,92"
"03/2016","0,92"
"04/2016","0,92"
"05/2016","0,92"
"06/2016","0,92"
"07/2016","0,92"
"08/2016","0,92"
"09/2016","0,92"
"10/2016","0,92"
"11/2016","0,92"
"12/2016","0,92"
"01/2017","0,92"
"02/2017","0,92"
"03/2017","0,92"
"04/2017","0,92"
"05/2017","0,92"
"06/2017","0,92"
"07/2017","0,92"
"08/2017","0,92"
"09/2017","0,92"
"10/2017","0,92"
"11/2017","0,92"
"12/2017","0,92"
"01/2018","0,62"
"02/2018","0,82"
"03/2018","0,82"
"04/2018","0,82"
"05/2018","0,82"
"06/2018","0,92"
"07/2018","0,82"
"08/2018","0,82"
"09/2018","0,82"
"10/2018","0,82"
"11/2018","0,74"
"12/2018","0,74"
"01/2019","0,74"
"02/2019","0,74"
"03/2019","0,74"
"04/2019","0,74"
"05/2019","0,74"
"06/2019","0,74"
"07/2019","0,74"
"08/2019","0,74"
"09/2019","0,74"
"10/2019","0,74"
"11/2019","0,74"
"12/2019","0,74"
"01/2020","0,74"
"02/2020","0,74"
"03/2020","0,65"
"04/2020","0,65"
"05/2020","0,65"
"06/2020","0,65"
"07/2020","0,65"
"08/2020","0,65"
"09/2020","0,65"
"10/2020","0,65"
"11/2020","0,65"
"12/2020","0,65"
"01/2021","0,69"
"02/2021","0,69"
"03/2021","0,69"
"04/2021","0,69"
"05/2021","0,69"
"06/2021","0,69"
"07/2021","0,69"
"08/2021","0,73"
"09/2021","0,77"
"10/2021","0,77"
"11/2021","0,77"
"12/2021","0,88"
"01/2022","0,81"
"02/2022","0,81"
"03/2022","0,81"
"04/2022","0,84"
"05/2022","0,84"
"06/2022","0,84"
"07/2022","0,91"
"08/2022","0,91"
"09/2022","0,91"
"10/2022","0,91"
"11/2022","0,91"
"12/2022","1,00"
"01/2023","0,91"
"02/2023","0,95"
"03/2023","0,95"
"04/2023","0,95"
"05/2023","0,95"
"06/2023","1,51"
"07/2023","0,95"
"08/2023","0,95"
"09/2023","1,00"
"10/2023","1,00"
"11/2023","1,00"
"12/2024","1,00"
"01/2024","1,00"
"02/2024","1,00"
"03/2024","1,00"
"04/2024","1,00"
"05/2024","1,00"
"06/2024","1,00"
"07/2024","1,00"
"08/2024","1,00"
"09/2024","1,00"
"10/2024","1,00"
