"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.05.2012","3,92","3,90","3,93","3,87","38,53K","1,03%"
"22.05.2012","3,90","3,91","3,91","3,86","3,56K","-0,51%"
"23.05.2012","3,84","3,86","3,86","3,82","12,19K","-1,54%"
"24.05.2012","3,86","3,86","3,86","3,82","5,40K","0,52%"
"25.05.2012","3,85","3,86","3,90","3,85","71,48K","-0,26%"
"28.05.2012","3,90","3,84","3,90","3,84","6,90K","1,30%"
"29.05.2012","3,93","3,90","3,97","3,90","89,26K","0,77%"
"30.05.2012","3,94","3,96","3,96","3,90","69,56K","0,25%"
"31.05.2012","3,96","3,94","3,96","3,93","62,65K","0,51%"
"01.06.2012","3,95","3,90","3,98","3,90","49,97K","-0,25%"
"04.06.2012","3,94","3,95","3,96","3,94","10,57K","-0,25%"
"05.06.2012","3,94","3,96","3,96","3,94","4,60K","0,00%"
"06.06.2012","3,96","3,96","3,96","3,96","16,24K","0,51%"
"08.06.2012","3,98","3,98","4,00","3,96","14,87K","0,51%"
"11.06.2012","3,96","3,98","3,98","3,95","26,57K","-0,50%"
"12.06.2012","3,97","3,96","3,98","3,95","23,87K","0,25%"
"13.06.2012","3,97","3,98","3,98","3,96","10,15K","0,00%"
"14.06.2012","3,97","3,96","3,99","3,94","28,83K","0,00%"
"15.06.2012","3,97","3,97","3,97","3,96","38,86K","0,00%"
"18.06.2012","3,96","3,96","3,97","3,94","54,01K","-0,25%"
"19.06.2012","3,96","3,96","3,97","3,95","86,14K","0,00%"
"20.06.2012","3,96","3,96","3,96","3,95","57,22K","0,00%"
"21.06.2012","3,95","3,96","3,96","3,94","24,02K","-0,25%"
"22.06.2012","3,94","3,95","3,96","3,94","47,95K","-0,25%"
"25.06.2012","3,94","3,94","3,95","3,92","39,49K","0,00%"
"26.06.2012","3,94","3,94","3,95","3,92","85,54K","0,00%"
"27.06.2012","3,94","3,94","3,95","3,93","124,62K","0,00%"
