"Data","Dividendo"
"04/2013","0,00"
"05/2013","0,08"
"06/2013","0,08"
"07/2013","0"
"08/2013","0,07"
"09/2013","0,07"
"10/2013","0,74"
"11/2013","0,08"
"12/2013","0,09"
"01/2014","0,07"
"02/2014","0,07"
"03/2014","0,08"
"04/2014","0,08"
"05/2014","0,08"
"06/2014","0,08"
"07/2014","0,10"
"08/2014","0,07"
"09/2014","0,07"
"10/2014","0,07"
"11/2014","0,07"
"12/2014","0,07"
"01/2015","0,08"
"02/2015","0,07"
"03/2015","0,08"
"04/2015","0,09"
"05/2015","0,10"
"06/2015","0,11"
"07/2015","0,12"
"08/2015","0,08"
"09/2015","0,08"
"10/2015","0,09"
"11/2015","0,09"
"12/2015","0,11"
"01/2016","0,12"
"02/2016","0,09"
"03/2016","0,08"
"04/2016","0,08"
"05/2016","0,09"
"06/2016","0,11"
"07/2016","0,13"
"08/2016","0,08"
"09/2016","0,08"
"10/2016","0,08"
"11/2016","0,08"
"12/2016","0,08"
"01/2017","0,09"
"02/2017","0,08"
"03/2017","0,08"
"04/2017","0,09"
"05/2017","0,10"
"06/2017","0,10"
"07/2017","0,06"
"08/2017","0,07"
"09/2017","0,06"
"10/2017","0,07"
"11/2017","0,06"
"12/2017","0,06"
"01/2018","0,05"
"02/2018","0,06"
"03/2018","0,07"
"04/2018","0,06"
"05/2018","0,06"
"06/2018","0,08"
"07/2018","0,10"
"08/2018","0,08"
"09/2018","0,07"
"10/2018","0,07"
"11/2018","0,06"
"12/2018","0,06"
"01/2019","0,06"
"02/2019","0,06"
"03/2019","0,07"
"04/2019","0,07"
"05/2019","0,07"
"06/2019","0,07"
"07/2019","0,07"
"08/2019","0,07"
"09/2019","0,07"
"10/2019","0,09"
"11/2019","0,09"
"12/2019","0,09"
"01/2020","0,13"
"02/2020","0,08"
"03/2020","0,09"
"04/2020","0,08"
"05/2020","0,07"
"06/2020","0,07"
"07/2020","0,07"
"08/2020","0,07"
"09/2020","0,07"
"10/2020","0,07"
"11/2020","0,06"
"12/2020","0,06"
"01/2021","0,07"
"02/2021","0,08"
"03/2021","0,08"
"04/2021","0,08"
"05/2021","0,08"
"06/2021","0,07"
"07/2021","0,07"
"08/2021","0,07"
"09/2021","0,08"
"10/2021","0,08"
"11/2021","0,09"
"12/2021","0,08"
"01/2022","0,09"
"02/2022","0,09"
"03/2022","0,09"
"04/2022","0,10"
"05/2022","0,11"
"06/2022","0,11"
"07/2022","0,10"
"08/2022","0,12"
"09/2022","0,11"
"10/2022","0,10"
"11/2022","0,10"
"12/2022","0,08"
"01/2023","0,10"
"02/2023","0,11"
"03/2023","0,12"
"04/2023","0,12"
"05/2023","0,12"
"06/2023","0,12"
"07/2023","0,12"
"08/2023","0,12"
"09/2023","0,11"
"10/2023","0,11"
"11/2023","0,11"
"12/2023","0,11"
"01/2024","0,11"
"02/2024","0,10"
"03/2024","0,10"
"04/2024","0,10"
"05/2024","0,10"
"06/2024","0,10"
"07/2024","0,10"
"08/2024","0,10"
"09/2024","0,09"
"10/2024","0,09"
