"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2013","87,79","87,87","87,96","87,79","1,71K","-0,49%"
"02.04.2013","88,05","88,62","88,62","88,04","0,13K","0,30%"
"03.04.2013","87,44","86,95","88,22","86,95","0,09K","-0,69%"
"04.04.2013","87,79","87,79","88,13","87,79","0,44K","0,40%"
"05.04.2013","87,40","87,96","87,96","86,05","0,99K","-0,44%"
"08.04.2013","87,27","86,92","87,40","86,92","0,20K","-0,15%"
"09.04.2013","86,93","87,27","87,48","86,92","0,54K","-0,39%"
"10.04.2013","86,94","87,00","87,35","86,93","0,49K","0,01%"
"11.04.2013","86,92","86,90","86,92","86,90","0,24K","-0,02%"
"12.04.2013","86,47","86,31","86,47","85,62","0,70K","-0,52%"
"15.04.2013","84,75","86,06","86,92","84,74","0,79K","-1,99%"
"16.04.2013","85,35","84,66","85,96","83,88","2,15K","0,71%"
"17.04.2013","85,09","82,92","85,09","82,57","0,77K","-0,30%"
"18.04.2013","83,70","86,04","86,04","83,70","0,28K","-1,63%"
"19.04.2013","84,31","86,04","86,04","84,31","0,13K","0,73%"
"22.04.2013","86,07","83,88","86,14","83,88","0,34K","2,09%"
"23.04.2013","83,94","84,31","84,31","83,88","0,38K","-2,47%"
"24.04.2013","82,83","84,31","84,74","82,83","1,05K","-1,32%"
"25.04.2013","84,31","81,80","85,17","81,80","2,63K","1,79%"
"26.04.2013","85,18","85,18","85,18","85,18","0,61K","1,03%"
"29.04.2013","83,44","83,44","83,61","83,44","0,22K","-2,04%"
"30.04.2013","84,31","82,98","84,31","82,98","1,47K","1,04%"
"02.05.2013","86,04","82,58","86,04","82,58","1,20K","2,05%"
"03.05.2013","86,92","89,09","89,09","85,18","0,15K","1,02%"
"06.05.2013","82,15","86,92","86,92","82,10","0,66K","-5,49%"
"07.05.2013","84,22","82,57","85,17","81,79","0,87K","2,52%"
"08.05.2013","83,01","81,98","84,31","81,98","2,28K","-1,44%"
"09.05.2013","83,79","86,05","86,05","83,44","1,34K","0,94%"
