"Data","Dividendo"
"04/2013","0,46"
"05/2013","0,67"
"06/2013","0,49"
"07/2013","0,61"
"08/2013","0,73"
"09/2013","0,85"
"10/2013","0,88"
"11/2013","0,95"
"12/2013","1,01"
"01/2014","1,05"
"02/2014","0,95"
"03/2014","0,95"
"04/2014","1,05"
"05/2014","1,05"
"06/2014","1,07"
"07/2014","1,07"
"08/2014","0,90"
"09/2014","0,65"
"10/2014","0,55"
"11/2014","0,60"
"12/2014","0,55"
"01/2015","0,55"
"02/2015","0,55"
"03/2015","0,53"
"04/2015","0,63"
"05/2015","0,61"
"06/2015","0,67"
"07/2015","0,87"
"08/2015","0,55"
"09/2015","0,70"
"10/2015","0,65"
"11/2015","0,40"
"12/2015","0,40"
"01/2016","0,40"
"02/2016","0,40"
"03/2016","0,60"
"04/2016","0,60"
"05/2016","0,60"
"06/2016","0,70"
"07/2016","0,85"
"08/2016","0,62"
"09/2016","0,62"
"10/2016","0,60"
"11/2016","0,75"
"12/2016","0,75"
"01/2017","1,80"
"02/2017","0,43"
"03/2017","0,40"
"04/2017","0,40"
"05/2017","0,40"
"06/2017","0,30"
"07/2017","0,30"
"08/2017","0,30"
"09/2017","0,40"
"10/2017","0,45"
"11/2017","0,40"
"12/2017","0,40"
"01/2018","1,50"
"02/2018","0,40"
"03/2018","0,30"
"04/2018","0,35"
"05/2018","0,30"
"06/2018","0,30"
"07/2018","0,30"
"08/2018","0,31"
"09/2018","0,33"
"10/2018","0,50"
"11/2018","0,70"
"12/2018","0,80"
"01/2019","0,80"
"02/2019","0,20"
"03/2019","0,15"
"04/2019","0,20"
"05/2019","0,20"
"06/2019","0,25"
"07/2019","0,25"
"08/2019","0,20"
"09/2019","0,20"
"10/2019","0,20"
"11/2019","0,20"
"12/2019","0,20"
"01/2020","0,20"
"02/2020","0,15"
"03/2020","0,11"
"04/2020","0,08"
"05/2020","0,09"
"06/2020","0,05"
"07/2020","0,11"
"08/2020","0,10"
"09/2020","0,15"
"10/2020","0,12"
"11/2020","0,13"
"12/2020","0,15"
"01/2021","0,02"
"02/2021","0,01"
"03/2021","0,02"
"04/2021","0,02"
"04/2021","0,00"
"06/2021","0,04"
"07/2021","0,05"
"08/2021","0,04"
"09/2021","0,06"
"10/2021","0,05"
"11/2021","0,04"
"12/2021","0,03"
"01/2022","0,05"
"02/2022","0,05"
"03/2022","0,07"
"04/2022","0,02"
"05/2022","0,04"
"06/2022","0,01"
"07/2022","0,04"
"08/2022","2,00"
"09/2022","0,04"
"10/2022","0,02"
"11/2022","0,03"
"12/2022","0,02"
"01/2023","0,01"
"02/2023","0,01"
"03/2023","0,02"
"04/2023","0,01"
"05/2023","0,01"
"06/2023","0,01"
"07/2023","0,01"
"08/2023","0,02"
"09/2023","0,02"
"10/2023","0,03"
"11/2023","0,03"
"12/2023","0,03"
"01/2024","0,04"
"02/2024","1,20"
"03/2024","1,20"
"04/2024","1,20"
"05/2024","0,48"
"06/2024","0,54"
"07/2024","0,55"
"08/2024","0,01"
"09/2024","0,00"
"10/2024","0,00"
