"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2013","80,31","83,80","84,68","80,02","4,74K","-1,29%"
"02.04.2013","79,45","79,96","80,43","79,45","3,94K","-1,07%"
"03.04.2013","79,43","79,44","80,23","78,13","5,57K","-0,03%"
"04.04.2013","79,32","78,22","79,88","76,06","13,33K","-0,14%"
"05.04.2013","76,83","79,44","79,79","76,82","10,37K","-3,14%"
"08.04.2013","77,25","79,44","79,44","76,47","6,01K","0,55%"
"09.04.2013","77,68","78,54","78,57","76,82","7,57K","0,56%"
"10.04.2013","75,95","77,69","78,56","75,95","18,44K","-2,23%"
"11.04.2013","75,69","77,59","77,59","73,33","18,29K","-0,34%"
"12.04.2013","74,63","75,95","76,38","74,38","8,72K","-1,40%"
"15.04.2013","74,38","75,07","75,95","74,38","12,59K","-0,33%"
"16.04.2013","76,30","74,64","77,59","74,64","22,95K","2,58%"
"17.04.2013","76,38","77,51","77,68","74,69","27,28K","0,10%"
"18.04.2013","77,45","77,54","77,54","76,38","19,94K","1,40%"
"19.04.2013","75,97","77,26","78,13","75,97","3,43K","-1,91%"
"22.04.2013","77,69","76,82","78,57","76,82","149,33K","2,26%"
"23.04.2013","76,82","78,13","78,13","76,82","1,99K","-1,12%"
"24.04.2013","75,30","77,68","78,13","75,30","9,89K","-1,98%"
"25.04.2013","75,51","77,26","77,69","75,51","2,74K","0,28%"
"26.04.2013","75,07","75,96","75,96","75,07","6,59K","-0,58%"
"29.04.2013","74,64","76,73","76,73","74,64","5,80K","-0,57%"
"30.04.2013","74,25","75,07","75,50","74,25","4,40K","-0,52%"
"02.05.2013","73,77","74,20","74,20","72,46","13,24K","-0,65%"
"03.05.2013","74,20","74,19","74,20","72,90","2,92K","0,58%"
"06.05.2013","74,19","72,94","75,42","72,63","7,83K","-0,01%"
"07.05.2013","74,18","73,33","74,18","73,15","1,07K","-0,01%"
"08.05.2013","73,77","74,18","74,20","72,89","4,74K","-0,55%"
"09.05.2013","73,33","73,77","74,18","72,89","4,01K","-0,60%"
"10.05.2013","72,02","72,89","73,07","72,02","4,75K","-1,79%"
"13.05.2013","71,85","72,46","73,98","71,84","8,32K","-0,24%"
"14.05.2013","72,81","73,33","73,33","71,98","3,28K","1,34%"
"15.05.2013","72,11","72,81","72,81","72,11","1,89K","-0,96%"
"16.05.2013","73,33","72,38","73,33","71,67","6,37K","1,69%"
"17.05.2013","73,32","73,33","73,33","71,76","3,64K","-0,01%"
"20.05.2013","73,24","73,32","73,33","72,24","6,25K","-0,11%"
"21.05.2013","73,93","73,31","73,96","72,46","7,37K","0,94%"
"22.05.2013","75,30","73,94","75,60","73,93","9,07K","1,85%"
"23.05.2013","75,07","75,03","75,07","74,56","1,86K","-0,31%"
"24.05.2013","77,45","75,07","77,45","74,23","9,26K","3,17%"
"27.05.2013","78,10","77,68","78,99","75,73","2,45K","0,84%"
"28.05.2013","78,13","78,13","78,35","76,47","1,91K","0,04%"
"29.05.2013","77,69","77,69","78,22","77,69","2,64K","-0,56%"
"31.05.2013","76,52","76,82","77,68","76,52","2,57K","-1,51%"
"03.06.2013","76,82","76,82","77,26","75,95","2,53K","0,39%"
"04.06.2013","77,17","75,99","77,34","75,95","3,84K","0,46%"
"05.06.2013","75,95","76,83","77,68","75,95","14,50K","-1,58%"
"06.06.2013","76,38","76,29","76,82","76,29","8,37K","0,57%"
"07.06.2013","76,91","76,30","76,91","75,95","6,87K","0,69%"
"10.06.2013","76,38","77,68","77,68","76,38","2,68K","-0,69%"
"11.06.2013","73,35","76,72","76,73","73,35","8,99K","-3,97%"
"12.06.2013","74,87","74,19","74,87","73,35","4,32K","2,07%"
"13.06.2013","73,42","74,20","74,20","73,42","0,49K","-1,94%"
"14.06.2013","74,16","74,19","74,19","73,43","0,79K","1,01%"
"17.06.2013","74,03","74,11","74,72","73,59","1,99K","-0,18%"
"18.06.2013","74,18","74,20","74,20","73,77","39,20K","0,20%"
"19.06.2013","73,35","73,77","74,02","72,46","7,32K","-1,12%"
"20.06.2013","72,46","73,33","73,33","72,46","3,75K","-1,21%"
"21.06.2013","72,46","73,32","73,32","72,46","0,40K","0,00%"
"24.06.2013","72,45","72,11","72,45","70,71","1,26K","-0,01%"
"25.06.2013","74,20","72,45","74,20","72,44","2,09K","2,42%"
"26.06.2013","74,11","74,11","74,11","72,47","0,46K","-0,12%"
"27.06.2013","74,20","74,11","74,20","73,77","0,71K","0,12%"
"28.06.2013","75,51","74,20","75,51","72,93","2,00K","1,77%"
"01.07.2013","74,76","75,31","75,31","73,11","1,30K","-0,99%"
"02.07.2013","73,81","74,43","74,43","73,11","0,71K","-1,27%"
"03.07.2013","73,46","73,12","73,98","72,52","0,82K","-0,47%"
"04.07.2013","72,24","72,53","73,98","72,24","0,87K","-1,66%"
"05.07.2013","72,31","72,67","73,53","72,31","0,45K","0,10%"
"08.07.2013","73,75","73,11","73,80","72,69","2,37K","1,99%"
"10.07.2013","75,27","73,55","75,29","72,68","2,98K","2,06%"
"11.07.2013","74,87","74,43","75,13","73,77","1,75K","-0,53%"
"12.07.2013","74,43","73,77","74,86","73,77","0,25K","-0,59%"
"15.07.2013","74,43","73,99","74,86","73,57","0,96K","0,00%"
"16.07.2013","73,57","74,82","74,82","73,57","0,86K","-1,16%"
"17.07.2013","73,55","73,81","73,99","73,11","3,66K","-0,03%"
"18.07.2013","73,90","73,56","73,90","72,76","2,13K","0,48%"
"19.07.2013","74,16","73,99","74,16","73,37","2,58K","0,35%"
"22.07.2013","74,84","74,28","74,86","73,81","4,79K","0,92%"
"23.07.2013","74,82","74,84","74,84","73,99","1,78K","-0,03%"
"24.07.2013","75,53","74,82","75,57","74,56","2,74K","0,95%"
"25.07.2013","75,52","75,52","75,52","74,87","6,80K","-0,01%"
"26.07.2013","75,31","75,53","75,53","74,87","0,87K","-0,28%"
"29.07.2013","75,40","74,96","75,40","74,00","3,26K","0,12%"
"30.07.2013","75,31","75,02","75,40","75,02","0,53K","-0,12%"
"31.07.2013","75,40","75,40","75,40","75,31","1,37K","0,12%"
"01.08.2013","75,99","75,81","75,99","75,55","0,64K","0,78%"
"02.08.2013","75,99","75,90","75,99","75,55","1,98K","0,00%"
"05.08.2013","76,08","76,24","76,24","75,55","2,12K","0,12%"
"06.08.2013","75,60","75,64","76,06","75,60","0,68K","-0,63%"
"07.08.2013","75,61","75,64","76,13","75,22","2,29K","0,01%"
"08.08.2013","75,90","75,77","76,04","75,37","4,95K","0,38%"
"09.08.2013","75,99","75,90","76,12","75,55","3,99K","0,12%"
"12.08.2013","75,99","75,98","76,16","75,46","0,93K","0,00%"
"13.08.2013","75,57","75,98","75,99","75,57","1,36K","-0,55%"
"14.08.2013","74,22","75,57","75,81","74,22","5,34K","-1,79%"
"15.08.2013","74,65","74,66","74,66","74,22","2,77K","0,58%"
"16.08.2013","74,65","74,64","75,46","74,26","2,02K","0,00%"
"19.08.2013","74,39","74,53","75,81","74,26","3,37K","-0,35%"
"20.08.2013","74,39","74,39","74,39","73,77","3,32K","0,00%"
"21.08.2013","74,13","74,22","74,22","73,78","1,07K","-0,35%"
"22.08.2013","74,57","74,13","74,57","74,04","1,35K","0,59%"
"23.08.2013","74,65","74,57","74,66","74,22","3,33K","0,11%"
"26.08.2013","74,66","74,66","74,84","74,48","3,20K","0,01%"
"27.08.2013","75,02","74,66","75,02","74,22","6,97K","0,48%"
"28.08.2013","75,33","75,02","75,33","74,66","0,68K","0,41%"
"29.08.2013","74,76","75,10","75,10","74,66","5,21K","-0,76%"
"30.08.2013","74,92","75,06","75,06","74,66","1,35K","0,21%"
"02.09.2013","74,99","74,45","75,74","74,45","1,04K","0,09%"
"03.09.2013","74,52","75,34","75,35","74,52","1,99K","-0,63%"
"04.09.2013","75,33","75,35","75,35","74,45","4,73K","1,09%"
"05.09.2013","75,26","75,32","75,32","74,27","1,40K","-0,09%"
"06.09.2013","74,47","75,26","75,26","74,47","3,22K","-1,05%"
"09.09.2013","74,90","74,80","74,90","74,46","2,02K","0,58%"
"10.09.2013","73,56","74,47","74,63","73,56","4,19K","-1,79%"
"11.09.2013","73,47","74,00","74,45","72,66","2,27K","-0,12%"
"12.09.2013","73,56","73,56","74,01","72,84","1,48K","0,12%"
"13.09.2013","74,44","73,56","74,44","73,56","2,56K","1,20%"
"16.09.2013","74,61","74,63","74,63","74,00","1,61K","0,23%"
"17.09.2013","74,45","74,64","74,64","74,00","0,98K","-0,21%"
"18.09.2013","74,45","74,44","74,45","74,43","0,36K","0,00%"
"19.09.2013","74,45","74,86","75,08","74,36","2,81K","0,00%"
"20.09.2013","74,45","74,19","74,45","74,19","0,22K","0,00%"
"23.09.2013","75,08","74,45","75,08","74,45","1,49K","0,85%"
"24.09.2013","74,45","74,54","74,55","73,82","3,34K","-0,84%"
