"Data","Dividendo"
"04/2013","0,77"
"05/2013","0,77"
"06/2013","0,77"
"07/2013","0,77"
"08/2013","0,77"
"09/2013","0,77"
"10/2013","0,77"
"11/2013","0,77"
"12/2013","0,77"
"01/2014","0,77"
"02/2014","0,77"
"03/2014","0,77"
"04/2014","0,79"
"05/2014","0,79"
"06/2014","0,79"
"07/2014","0,79"
"08/2014","0,79"
"09/2014","0,79"
"10/2014","0,79"
"11/2014","0,79"
"12/2014","0,79"
"01/2015","0,79"
"02/2015","0,79"
"03/2015","0,79"
"04/2015","0,81"
"05/2015","0,81"
"06/2015","0,81"
"07/2015","0,81"
"08/2015","0,81"
"09/2015","0,81"
"10/2015","0,81"
"11/2015","0,81"
"12/2015","0,81"
"01/2016","0,81"
"02/2016","0,81"
"03/2016","0,81"
"04/2016","0,83"
"05/2016","0,83"
"06/2016","0,83"
"07/2016","0,83"
"08/2016","0,83"
"09/2016","0,83"
"10/2016","0,83"
"11/2016","0,54"
"12/2016","0,54"
"01/2017","0,54"
"02/2017","0,54"
"03/2017","0,54"
"04/2017","0,54"
"05/2017","0,54"
"06/2017","0,54"
"07/2017","0,54"
"08/2017","0,54"
"09/2017","0,54"
"10/2017","0,54"
"11/2017","0,54"
"12/2017","0,54"
"01/2018","0,54"
"02/2018","0,54"
"03/2018","0,54"
"04/2018","0,55"
"05/2018","0,55"
"06/2018","0,55"
"07/2018","0,55"
"08/2018","0,55"
"09/2018","0,55"
"10/2018","0,55"
"11/2018","0,55"
"12/2018","0,61"
"01/2019","0,61"
"02/2019","0,61"
"03/2019","0,61"
"04/2019","0,61"
"05/2019","0,61"
"06/2019","0,61"
"07/2019","0,61"
"08/2019","0,61"
"09/2019","0,61"
"10/2019","0,61"
"11/2019","0,61"
"12/2019","1,40"
"01/2020","0,73"
"02/2020","0,74"
"03/2020","0,75"
"04/2020","0,75"
"05/2020","0,44"
"06/2020","0,44"
"07/2020","0,75"
"08/2020","0,75"
"09/2020","0,75"
"10/2020","0,75"
"11/2020","0,75"
"12/2020","0,70"
"01/2021","1,24"
"02/2021","0,86"
"03/2021","0,88"
"04/2021","5,15"
"05/2021","0,58"
"06/2021","0,60"
"07/2021","2,52"
"08/2021","0,60"
"09/2021","0,60"
"10/2021","0,36"
"11/2021","1,13"
"12/2021","0,40"
"01/2022","0,40"
"02/2022","0,40"
"03/2022","0,40"
"04/2022","0,40"
"05/2022","0,40"
"06/2022","0,40"
"07/2022","0,40"
"08/2022","0,40"
"09/2022","0,40"
"10/2022","0,40"
"11/2022","0,40"
"12/2022","0,42"
"01/2023","0,42"
"02/2023","0,42"
"03/2023","0,42"
"04/2023","0,42"
"05/2023","0,42"
"06/2023","0,42"
"07/2023","0,42"
"08/2023","0,42"
"09/2023","0,46"
"10/2023","0,46"
"11/2023","0,46"
"12/2023","0,46"
"01/2024","0,65"
"02/2024","0,44"
"03/2024","0,44"
"04/2024","0,44"
"05/2024","0,42"
"06/2024","0,42"
"07/2024","0,42"
"08/2024","0,40"
"09/2024","0,40"
"10/2024","0,40"
