"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2013","104,79","107,33","107,33","104,79","1,13K","-2,45%"
"02.04.2013","104,79","104,79","104,79","103,14","0,89K","0,00%"
"03.04.2013","104,79","104,79","104,79","104,79","0,31K","0,00%"
"04.04.2013","103,03","105,27","105,27","103,03","0,46K","-1,68%"
"05.04.2013","103,91","104,79","104,79","103,06","0,40K","0,85%"
"08.04.2013","103,47","103,34","103,90","103,03","1,51K","-0,42%"
"09.04.2013","103,39","105,01","105,01","103,20","1,22K","-0,08%"
"10.04.2013","103,91","103,55","104,33","103,55","1,53K","0,50%"
"11.04.2013","104,17","103,91","104,35","103,91","0,84K","0,25%"
"12.04.2013","104,79","104,16","104,79","103,92","1,83K","0,60%"
"15.04.2013","104,35","104,79","104,79","104,35","0,62K","-0,42%"
"16.04.2013","104,26","104,79","104,79","103,74","1,12K","-0,09%"
"17.04.2013","105,22","104,35","105,23","103,91","2,46K","0,92%"
"18.04.2013","105,23","105,21","105,36","104,52","3,71K","0,01%"
"19.04.2013","104,43","105,33","105,34","104,43","1,22K","-0,76%"
"22.04.2013","103,91","104,78","104,79","103,03","2,79K","-0,50%"
"23.04.2013","102,59","104,35","104,35","102,06","1,82K","-1,27%"
"24.04.2013","100,82","103,47","103,81","100,82","1,44K","-1,73%"
"25.04.2013","101,80","103,02","103,28","101,70","0,96K","0,97%"
"26.04.2013","101,79","101,26","101,97","100,48","2,05K","-0,01%"
"29.04.2013","101,48","101,26","103,03","101,26","0,78K","-0,30%"
"30.04.2013","102,72","101,53","102,85","101,18","3,88K","1,22%"
"02.05.2013","101,97","102,50","102,50","101,26","0,99K","-0,73%"
"03.05.2013","102,14","102,59","103,55","101,35","0,90K","0,17%"
"06.05.2013","102,33","102,14","103,03","101,70","2,24K","0,19%"
"07.05.2013","101,27","102,34","103,10","101,26","2,92K","-1,04%"
"08.05.2013","101,70","101,62","102,14","101,27","1,31K","0,42%"
"09.05.2013","101,31","102,19","102,84","101,26","1,27K","-0,38%"
"10.05.2013","102,14","102,14","102,59","101,35","3,03K","0,82%"
"13.05.2013","101,40","103,02","103,02","101,27","1,23K","-0,72%"
"14.05.2013","103,54","102,49","103,91","102,16","4,15K","2,11%"
"15.05.2013","102,89","103,54","103,54","101,35","2,06K","-0,63%"
"16.05.2013","102,21","102,15","102,61","101,79","1,69K","-0,66%"
"17.05.2013","103,82","102,61","103,82","102,19","4,38K","1,58%"
"20.05.2013","103,47","103,82","103,82","102,16","4,10K","-0,34%"
"21.05.2013","105,93","103,46","105,93","103,46","49,19K","2,38%"
"22.05.2013","107,25","105,31","107,33","105,05","1,61K","1,25%"
"23.05.2013","107,43","107,24","107,43","106,90","2,60K","0,17%"
"24.05.2013","109,98","106,86","110,53","106,86","0,62K","2,37%"
"27.05.2013","110,07","109,18","110,07","108,31","1,73K","0,08%"
"28.05.2013","108,31","109,63","109,85","108,31","1,31K","-1,60%"
"29.05.2013","108,30","109,18","109,19","107,43","1,27K","-0,01%"
"31.05.2013","108,30","108,31","108,31","105,58","1,01K","0,00%"
