"Data","Dividendo"
"04/2013","1,04"
"05/2013","1,09"
"06/2013","1,10"
"07/2013","1,06"
"08/2013","1,06"
"09/2013","1,04"
"10/2013","1,03"
"11/2013","1,03"
"12/2013","1,05"
"01/2014","1,01"
"02/2014","1,02"
"03/2014","1,08"
"04/2014","1,15"
"05/2014","1,14"
"06/2014","1,17"
"07/2014","2,31"
"08/2014","1,11"
"09/2014","1,10"
"10/2014","1,08"
"11/2014","1,06"
"12/2014","1,09"
"01/2015","1,09"
"02/2015","1,01"
"03/2015","1,01"
"04/2015","1,04"
"05/2015","1,02"
"06/2015","1,13"
"07/2015","1,20"
"08/2015","1,28"
"09/2015","1,35"
"10/2015","1,29"
"11/2015","1,23"
"12/2015","1,22"
"01/2016","1,34"
"02/2016","1,35"
"03/2016","1,39"
"04/2016","1,39"
"05/2016","1,33"
"06/2016","1,41"
"07/2016","1,44"
"08/2016","1,37"
"09/2016","1,38"
"10/2016","1,33"
"11/2016","1,33"
"12/2016","1,18"
"01/2017","1,18"
"02/2017","1,15"
"03/2017","1,03"
"04/2017","1,03"
"05/2017","1,00"
"06/2017","0,98"
"07/2017","0,96"
"08/2017","0,81"
"09/2017","0,78"
"10/2017","0,70"
"11/2017","0,72"
"12/2017","0,70"
"01/2018","0,70"
"02/2018","0,70"
"03/2018","0,62"
"04/2018","0,69"
"05/2018","0,74"
"06/2018","0,74"
"07/2018","0,81"
"08/2018","0,86"
"09/2018","0,98"
"10/2018","0,98"
"11/2018","1,15"
"12/2018","1,03"
"01/2019","1,01"
"02/2019","1,02"
"03/2019","0,99"
"04/2019","0,94"
"05/2019","1,08"
"06/2019","1,05"
"07/2019","1,02"
"08/2019","0,94"
"09/2019","0,85"
"10/2019","0,71"
"11/2019","0,72"
"12/2019","0,64"
"01/2020","0,77"
"02/2020","0,78"
"03/2020","0,81"
"04/2020","0,74"
"05/2020","0,71"
"06/2020","0,73"
"07/2020","0,96"
"08/2020","0,61"
"09/2020","0,51"
"10/2020","0,61"
"11/2020","0,66"
"12/2020","0,79"
"01/2021","0,90"
"02/2021","0,90"
"03/2021","0,91"
"04/2021","0,90"
"05/2021","0,90"
"06/2021","1,04"
"07/2021","1,02"
"08/2021","1,07"
"09/2021","1,02"
"10/2021","1,10"
"11/2021","1,20"
"12/2021","1,25"
"01/2022","1,19"
"02/2022","1,24"
"03/2022","1,25"
"04/2022","1,15"
"05/2022","1,20"
"06/2022","1,25"
"07/2022","1,21"
"08/2022","1,10"
"09/2022","1,10"
"10/2022","1,00"
"11/2022","1,00"
"12/2022","0,90"
"01/2023","0,90"
"02/2023","1,00"
"03/2023","0,95"
"04/2023","0,95"
"05/2023","0,95"
"06/2023","0,95"
"07/2023","0,92"
"08/2023","0,70"
"09/2023","0,70"
"10/2023","0,70"
"11/2023","0,70"
"12/2023","0,70"
"01/2024","0,75"
"02/2024","0,80"
"03/2024","0,85"
"04/2024","0,90"
"05/2024","0,90"
"06/2024","0,90"
"07/2024","0,90"
"08/2024","0,90"
"09/2024","0,80"
"10/2024","0,80"
